name_building,floors,status,year,address,address_2,link_2,height,link,h1,h2,h3,type_concat,residential,office,hotel,other,type_simplified
Mirante do Vale,45,built,1960,"Avenida Prestes Maia, 241",Sao Paulo SP Brazil,http://www.mirantedovale.com.br/,558,https://skyscraperpage.com/cities?buildingID=1537,558,NA,NA,"c(""Building Uses"", ""- office"", ""- observation"", ""- restaurant"", ""- retail"", ""Structural Types"", ""- highrise"", ""- landing pad"", ""Architectural Style"", ""- international"", ""- modern"", ""Materials"", ""- glass"", ""- concrete, reinforced"", ""- concrete"")",0,1,0,0,Office
Edificio Italia,46,built,1965,Av. Ipiranga 344 República BR-01046-010 Centre,Sao Paulo SP Brazil,,541,https://skyscraperpage.com/cities?buildingID=1527,541,NA,NA,"c(""Building Uses"", ""- office"", ""- communication"", ""- residential"", ""- restaurant"", ""- retail"", ""- theatre"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- steel"", ""- concrete, reinforced"", ""- concrete"")",1,1,0,0,Mixed Use
Edifício Altino Arantes,36,built,1947,"Rua João Brícola, 24 x Rua Boa Vista BR-01014-010 Centre",Sao Paulo SP Brazil,,528,https://skyscraperpage.com/cities?buildingID=708,528,NA,NA,"c(""Building Uses"", ""- office"", ""- museum"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- art deco"", ""Materials"", ""- glass"", ""- steel"", ""- wood"", ""- marble"", ""- stucco"", ""- concrete, reinforced"", ""- concrete"")",0,1,0,0,Office
Parque Cidade Jardim,41,built,2010,"Rua Armando Petrella, Morumbi Zona Sul",Sao Paulo SP Brazil,http://www.parquecidadejardim....,518,https://skyscraperpage.com/cities?buildingID=84663,518,NA,NA,"c(""Building Uses"", ""- mixed use"", ""- garden"", ""- office"", ""- parking garage"", ""- residential"", ""- restaurant"", ""- retail"", ""Structural Types"", ""- highrise"", ""- landing pad"", ""- mall"", ""Architectural Style"", ""- neo-classical"", ""- postmodern"", ""Materials"", ""- steel"", ""- stone"", ""- aluminium"", ""- marble"", ""- granite"", ""- stucco"", ""- concrete (plain)"", ""- concrete, reinforced"")",1,1,0,0,Mixed Use
CENU Torre Norte,34,built,1999,"Avenida das Nações Unidas, 12901 - Brooklin Novo",Sao Paulo SP Brazil,,518,https://skyscraperpage.com/cities?buildingID=1528,518,NA,NA,"c(""Building Uses"", ""- office"", ""- parking garage"", ""Structural Types"", ""- highrise"", ""- landing pad"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- aluminium"", ""- granite"", ""- concrete, reinforced"")",0,1,0,0,Office
Josephine Baker,43,built,2014,Sao Paulo SP Brazil,,NA,492,https://skyscraperpage.com/cities?buildingID=42959,492,NA,NA,"c(""Building Uses"", ""- residential"", ""- parking garage"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"")",1,0,0,0,Residential
EZ Towers - Tower B,32,built,2014,Sao Paulo SP Brazil,,NA,492,https://skyscraperpage.com/cities?buildingID=15497,492,NA,NA,"c(""Building Uses"", ""- office"", ""- conference"", ""- parking garage"", ""Structural Types"", ""- highrise"")",0,1,0,0,Office
EZ Towers - Tower A,32,built,2014,Sao Paulo SP Brazil,,NA,492,https://skyscraperpage.com/cities?buildingID=52366,492,NA,NA,"c(""Building Uses"", ""- office"", ""- conference"", ""- parking garage"", ""Structural Types"", ""- highrise"")",0,1,0,0,Office
Birmann 21,26,built,1996,Av.das Nações Unidas 7221 Pinheiros BR-05425-902 Zona Oeste,Sao Paulo SP Brazil,,489,https://skyscraperpage.com/cities?buildingID=1662,489,400,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""- landing pad"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- aluminium"", ""- granite"", ""- concrete, reinforced"")",0,1,0,0,Office
e-Tower,37,built,2005,Rua Funchal 418 Vila Olímpia BR-04551-060 Zona Sul,Sao Paulo SP Brazil,,487,https://skyscraperpage.com/cities?buildingID=7888,487,NA,NA,"c(""Building Uses"", ""- office"", ""- parking garage"", ""- restaurant"", ""- fitness center"", ""Structural Types"", ""- highrise"", ""- atrium"", ""- landing pad"", ""- pole"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- aluminium"", ""- granite"", ""- concrete"")",0,1,0,0,Office
Eco Berrini,35,built,2011,"Av. Eng°. Luiz Carlos Berrini, Cidade Monções BR-04575-010 Zona Sul",Sao Paulo SP Brazil,,479,https://skyscraperpage.com/cities?buildingID=73208,479,NA,NA,"c(""Building Uses"", ""- office"", ""- observation"", ""- parking garage"", ""- restaurant"", ""Structural Types"", ""- highrise"", ""- hole"", ""- landing pad"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- steel"", ""- aluminium"", ""- granite"", ""- concrete, reinforced"")",0,1,0,0,Office
Itaú Fidelité Marginal Pinheiros,30,built,2002,"Avenida Doutor Chucri Zaidan, 246 - Brooklin Novo",Sao Paulo SP Brazil,,476,https://skyscraperpage.com/cities?buildingID=1556,476,NA,NA,"c(""Building Uses"", ""- office"", ""- parking garage"", ""- retail"", ""Structural Types"", ""- highrise"", ""- landing pad"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- granite"", ""- concrete, reinforced"")",0,1,0,0,Office
Emiliano Anália Franco,41,built,2013,"Rua Nagib Izar, 258 - Vila Formosa",Sao Paulo SP Brazil,https://porte.com.br/empreendi...,469,https://skyscraperpage.com/cities?buildingID=108166,469,NA,NA,"c(""Building Uses"", ""- residential"", ""- parking garage"", ""- fitness center"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Edifício do Banco do Brasil,24,built,1955,"Rua São Bento, 465",Sao Paulo SP Brazil,,469,https://skyscraperpage.com/cities?buildingID=1667,469,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- limestone"", ""- concrete, reinforced"")",0,1,0,0,Office
