name_building,floors,status,year,address,address_2,link_2,height,link,h1,h2,h3,type_concat,residential,office,hotel,other,type_simplified,address_adj,lat,long
Mirante do Vale,45,built,1960,"Avenida Prestes Maia, 241",Sao Paulo SP Brazil,http://www.mirantedovale.com.br/,558,https://skyscraperpage.com/cities?buildingID=1537,558,NA,NA,"c(""Building Uses"", ""- office"", ""- observation"", ""- restaurant"", ""- retail"", ""Structural Types"", ""- highrise"", ""- landing pad"", ""Architectural Style"", ""- international"", ""- modern"", ""Materials"", ""- glass"", ""- concrete, reinforced"", ""- concrete"")",0,1,0,0,Office,"Avenida Prestes Maia, 241",-23.5423,-46.635118
Edificio Italia,46,built,1965,Av. Ipiranga 344 República BR-01046-010 Centre,Sao Paulo SP Brazil,,541,https://skyscraperpage.com/cities?buildingID=1527,541,NA,NA,"c(""Building Uses"", ""- office"", ""- communication"", ""- residential"", ""- restaurant"", ""- retail"", ""- theatre"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- steel"", ""- concrete, reinforced"", ""- concrete"")",1,1,0,0,Mixed Use,Av. Ipiranga 344 República ,-23.5453075,-46.6436337
CENU Torre Norte,34,built,1999,"Avenida das Nações Unidas, 12901 - Brooklin Novo",Sao Paulo SP Brazil,,518,https://skyscraperpage.com/cities?buildingID=1528,518,NA,NA,"c(""Building Uses"", ""- office"", ""- parking garage"", ""Structural Types"", ""- highrise"", ""- landing pad"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- aluminium"", ""- granite"", ""- concrete, reinforced"")",0,1,0,0,Office,"Avenida das Nações Unidas, 12901 - Brooklin Novo",-23.6111255,-46.69656375932362
Birmann 21,26,built,1996,Av.das Nações Unidas 7221 Pinheiros BR-05425-902 Zona Oeste,Sao Paulo SP Brazil,,489,https://skyscraperpage.com/cities?buildingID=1662,489,400,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""- landing pad"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- aluminium"", ""- granite"", ""- concrete, reinforced"")",0,1,0,0,Office,Av.das Nações Unidas 7221 Pinheiros ,-23.5653335,-46.7028384
e-Tower,37,built,2005,Rua Funchal 418 Vila Olímpia BR-04551-060 Zona Sul,Sao Paulo SP Brazil,,487,https://skyscraperpage.com/cities?buildingID=7888,487,NA,NA,"c(""Building Uses"", ""- office"", ""- parking garage"", ""- restaurant"", ""- fitness center"", ""Structural Types"", ""- highrise"", ""- atrium"", ""- landing pad"", ""- pole"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- aluminium"", ""- granite"", ""- concrete"")",0,1,0,0,Office,Rua Funchal 418 Vila Olímpia ,-23.59371985,-46.69039368087596
Itaú Fidelité Marginal Pinheiros,30,built,2002,"Avenida Doutor Chucri Zaidan, 246 - Brooklin Novo",Sao Paulo SP Brazil,,476,https://skyscraperpage.com/cities?buildingID=1556,476,NA,NA,"c(""Building Uses"", ""- office"", ""- parking garage"", ""- retail"", ""Structural Types"", ""- highrise"", ""- landing pad"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- granite"", ""- concrete, reinforced"")",0,1,0,0,Office,"Avenida Doutor Chucri Zaidan, 246 - Brooklin Novo",-23.6172844,-46.6974638
Emiliano Anália Franco,41,built,2013,"Rua Nagib Izar, 258 - Vila Formosa",Sao Paulo SP Brazil,https://porte.com.br/empreendi...,469,https://skyscraperpage.com/cities?buildingID=108166,469,NA,NA,"c(""Building Uses"", ""- residential"", ""- parking garage"", ""- fitness center"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,"Rua Nagib Izar, 258 - Vila Formosa",-23.5570541,-46.5611613
Edifício do Banco do Brasil,24,built,1955,"Rua São Bento, 465",Sao Paulo SP Brazil,,469,https://skyscraperpage.com/cities?buildingID=1667,469,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- limestone"", ""- concrete, reinforced"")",0,1,0,0,Office,"Rua São Bento, 465",-23.545244,-46.6346882
Inhambú,40,built,2010,Rua Inhambú,Sao Paulo SP Brazil,,463,https://skyscraperpage.com/cities?buildingID=10983,463,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- neo-classical"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- granite"", ""- concrete, reinforced"", ""- brick"", ""- sandstone"")",1,0,0,0,Residential,Rua Inhambú,-22.938502,-43.0441993
Canário,40,built,2010,"Rua Canário, 130",Sao Paulo SP Brazil,,463,https://skyscraperpage.com/cities?buildingID=10988,463,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- neo-classical"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- granite"", ""- concrete, reinforced"", ""- brick"", ""- sandstone"")",1,0,0,0,Residential,"Rua Canário, 130",-22.9117265,-47.1182388
