CodIBGE;Municípios;   Ano   ;População;Porte Populacional
1;Água Rasa;2021;82264;De 50 a 100 mil
2;Alto de Pinheiros;2021;40708;Até 50 mil
3;Anhanguera;2021;86020;De 50 a 100 mil
4;Aricanduva;2021;85747;De 50 a 100 mil
5;Artur Alvim;2021;100040;De 100 a 200 mil
6;Barra Funda;2021;16342;Até 50 mil
7;Bela Vista;2021;73327;De 50 a 100 mil
8;Belém;2021;49434;Até 50 mil
9;Bom Retiro;2021;39202;Até 50 mil
10;Brás;2021;33286;Até 50 mil
11;Brasilândia;2021;283658;Mais de 200 mil
12;Butantã;2021;53700;De 50 a 100 mil
13;Cachoeirinha;2021;146866;De 100 a 200 mil
14;Cambuci;2021;40842;Até 50 mil
15;Campo Belo;2021;63460;De 50 a 100 mil
16;Campo Grande;2021;107036;De 100 a 200 mil
17;Campo Limpo;2021;230277;Mais de 200 mil
18;Cangaiba;2021;138291;De 100 a 200 mil
19;Capão Redondo;2021;298611;Mais de 200 mil
20;Carrão;2021;84902;De 50 a 100 mil
21;Casa Verde;2021;85961;De 50 a 100 mil
22;Cidade Ademar;2021;287164;Mais de 200 mil
23;Cidade Dutra;2021;203791;Mais de 200 mil
24;Cidade Líder;2021;135923;De 100 a 200 mil
25;Cidade Tiradentes;2021;237872;Mais de 200 mil
26;Consolação;2021;57296;De 50 a 100 mil
27;Cursino;2021;113931;De 100 a 200 mil
28;Ermelino Matarazzo;2021;119101;De 100 a 200 mil
29;Freguesia do Ó;2021;139970;De 100 a 200 mil
30;Grajaú;2021;392734;Mais de 200 mil
31;Guaianases;2021;110361;De 100 a 200 mil
32;Moema;2021;89517;De 50 a 100 mil
33;Iguatemi;2021;151591;De 100 a 200 mil
34;Ipiranga;2021;112534;De 100 a 200 mil
35;Itaim Bibi;2021;97245;De 50 a 100 mil
36;Itaim Paulista;2021;236099;Mais de 200 mil
37;Itaquera;2021;212217;Mais de 200 mil
38;Jabaquara;2021;229685;Mais de 200 mil
39;Jaçanã;2021;96176;De 50 a 100 mil
40;Jaguará;2021;23887;Até 50 mil
41;Jaguaré;2021;55557;De 50 a 100 mil
42;Jaraguá;2021;214796;Mais de 200 mil
43;Jardim Ângela;2021;341881;Mais de 200 mil
44;Jardim Helena;2021;136047;De 100 a 200 mil
45;Jardim Paulista;2021;90573;De 50 a 100 mil
46;Jardim São Luís;2021;295722;Mais de 200 mil
47;José Bonifácio;2021;137402;De 100 a 200 mil
48;Lapa;2021;67083;De 50 a 100 mil
49;Liberdade;2021;72923;De 50 a 100 mil
50;Limão;2021;79668;De 50 a 100 mil
51;Mandaqui;2021;109281;De 100 a 200 mil
52;Marsilac;2021;8463;Até 50 mil
53;Mooca;2021;80476;De 50 a 100 mil
54;Morumbi;2021;53281;De 50 a 100 mil
55;Parelheiros;2021;155468;De 100 a 200 mil
56;Pari;2021;19196;Até 50 mil
57;Parque do Carmo;2021;72041;De 50 a 100 mil
58;Pedreira;2021;162442;De 100 a 200 mil
59;Penha;2021;129065;De 100 a 200 mil
60;Perdizes;2021;114751;De 100 a 200 mil
61;Perus;2021;90110;De 50 a 100 mil
62;Pinheiros;2021;65776;De 50 a 100 mil
63;Pirituba;2021;171353;De 100 a 200 mil
64;Ponte Rasa;2021;89574;De 50 a 100 mil
65;Raposo Tavares;2021;107967;De 100 a 200 mil
66;República;2021;61956;De 50 a 100 mil
67;Rio Pequeno;2021;124033;De 100 a 200 mil
68;Sacomã;2021;264686;Mais de 200 mil
69;Santa Cecília;2021;88612;De 50 a 100 mil
70;Santana;2021;112666;De 100 a 200 mil
71;Santo Amaro;2021;74405;De 50 a 100 mil
72;São Lucas;2021;142882;De 100 a 200 mil
73;São Mateus;2021;155727;De 100 a 200 mil
74;São Miguel;2021;89023;De 50 a 100 mil
75;São Rafael;2021;161033;De 100 a 200 mil
76;Sapopemba;2021;290405;Mais de 200 mil
77;Saúde;2021;134032;De 100 a 200 mil
78;Sé;2021;26875;Até 50 mil
79;Socorro;2021;35871;Até 50 mil
80;Tatuapé;2021;96147;De 50 a 100 mil
81;Tremembé;2021;225512;Mais de 200 mil
82;Tucuruvi;2021;96065;De 50 a 100 mil
83;Vila Andrade;2021;166004;De 100 a 200 mil
84;Vila Curuçá;2021;154155;De 100 a 200 mil
85;Vila Formosa;2021;93953;De 50 a 100 mil
86;Vila Guilherme;2021;57213;De 50 a 100 mil
87;Vila Jacuí;2021;146280;De 100 a 200 mil
88;Vila Leopoldina;2021;45378;Até 50 mil
89;Vila Maria;2021;114080;De 100 a 200 mil
90;Vila Mariana;2021;132028;De 100 a 200 mil
91;Vila Matilde;2021;105516;De 100 a 200 mil
92;Vila Medeiros;2021;123134;De 100 a 200 mil
93;Vila Prudente;2021;104616;De 100 a 200 mil
94;Vila Sônia;2021;122464;De 100 a 200 mil
95;São Domingos;2021;86504;De 50 a 100 mil
96;Lajeado;2021;175632;De 100 a 200 mil
97;Capital Sem Especificação;2020;0;0
