ano,mes,id_municipio,regiao_ssp,homicidio_doloso,numero_de_vitimas_em_homicidio_doloso,homicidio_doloso_por_acidente_de_transito,numero_de_vitimas_em_homicidio_doloso_por_acidente_de_transito,homicidio_culposo_por_acidente_de_transito,homicidio_culposo_outros,tentativa_de_homicidio,lesao_corporal_seguida_de_morte,lesao_corporal_dolosa,lesao_corporal_culposa_por_acidente_de_transito,lesao_corporal_culposa_outras,latrocinio,numero_de_vitimas_em_latrocinio,total_de_estupro,estupro,estupro_de_vulneravel,total_de_roubo_outros,roubo_outros,roubo_de_veiculo,roubo_a_banco,roubo_de_carga,furto_outros,furto_de_veiculo
2008,1,3550308,Capital,97,97,0,0,51,1,92,0,3154,1963,78,4,4,71,,,8652,,2355,12,271,11057,3039
2008,2,3550308,Capital,118,123,0,0,45,3,98,0,3096,2207,99,6,6,75,,,9201,,2497,14,324,10792,2976
2008,3,3550308,Capital,111,116,0,0,74,6,107,0,3521,2625,100,5,5,90,,,9743,,2835,13,310,12011,3629
2008,4,3550308,Capital,84,85,0,0,68,4,106,0,3294,2676,120,5,5,85,,,9657,,2765,16,337,13464,4084
2008,5,3550308,Capital,124,131,0,0,60,5,82,0,3150,2724,98,2,2,83,,,9620,,2709,14,342,13204,3963
2008,6,3550308,Capital,96,103,0,0,57,3,95,0,2925,2515,90,7,7,94,,,10006,,2376,16,315,14747,4103
2008,7,3550308,Capital,109,111,0,0,52,11,72,0,2957,2468,85,10,10,77,,,10303,,2460,14,366,16490,4143
2008,8,3550308,Capital,98,105,0,0,58,4,117,0,3183,2610,80,6,6,94,,,10103,,2552,14,374,14750,4077
2008,9,3550308,Capital,89,101,0,0,55,3,76,0,2636,2276,103,6,6,104,,,8039,,2761,13,346,11805,3600
2008,10,3550308,Capital,105,106,0,0,69,5,98,0,2028,1929,107,7,7,101,,,6124,,2904,17,404,9755,4091
2008,11,3550308,Capital,118,127,0,0,61,10,99,0,2818,2179,69,4,4,90,,,8500,,2673,14,363,11842,3009
2008,12,3550308,Capital,114,117,0,0,56,8,78,0,3148,2171,90,7,7,71,,,9575,,2643,13,400,13452,2342
2011,1,3550308,Capital,90,95,0,0,48,18,111,,3348,1858,150,4,4,188,,,8380,,2890,11,442,14388,3218
2011,2,3550308,Capital,82,87,0,0,56,7,95,,3489,2113,149,7,7,217,,,8603,,3013,16,378,14994,3560
2011,3,3550308,Capital,53,54,0,0,55,2,93,,3329,2184,135,16,16,199,,,9371,,3343,9,314,16140,3660
2011,4,3550308,Capital,90,94,0,0,69,6,100,,3350,2186,122,7,7,210,,,8829,,2972,10,327,17326,3475
2011,5,3550308,Capital,84,93,0,0,76,10,84,,3237,2400,131,13,14,198,,,9767,,3326,15,334,18066,3550
2011,6,3550308,Capital,83,90,0,0,74,7,78,,3013,2261,112,6,6,174,,,9078,,3253,17,313,17258,3613
2011,7,3550308,Capital,106,109,0,0,59,10,73,,3067,2139,98,6,6,186,,,9311,,3420,15,292,16218,3770
2011,8,3550308,Capital,92,95,0,0,43,10,92,,3525,2265,131,8,9,223,,,10306,,3702,19,344,16973,3886
2011,9,3550308,Capital,69,71,0,0,66,12,82,,3478,2193,126,4,4,231,,,9774,,3573,8,385,16918,3987
2011,10,3550308,Capital,78,82,0,0,49,24,102,,3514,2114,215,5,5,191,,,8862,,3614,11,390,16765,3759
2011,11,3550308,Capital,96,99,0,0,52,10,107,,3512,1963,161,7,7,220,,,8817,,3800,9,320,16836,3723
2011,12,3550308,Capital,96,100,1,1,54,1,115,,3955,2251,179,8,9,181,,,8611,,3611,9,419,16370,2577
2004,1,3550308,Capital,316,330,0,0,69,4,237,0,2825,1795,106,13,21,80,,,9242,,3727,16,301,12828,4634
2004,2,3550308,Capital,277,315,0,0,50,2,232,0,2861,1843,123,8,11,88,,,8888,,3623,15,283,12470,4816
2004,3,3550308,Capital,287,317,0,0,63,5,234,0,3031,2237,139,5,8,128,,,10110,,4055,14,326,13692,5296
2004,4,3550308,Capital,306,322,0,0,64,5,258,0,2979,2077,124,4,6,121,,,9987,,4031,14,333,13438,4501
2004,5,3550308,Capital,301,311,0,0,48,4,228,0,2667,2326,132,6,8,95,,,10382,,3964,16,303,13739,5033
2004,6,3550308,Capital,313,330,0,0,72,4,247,0,2709,2223,135,4,7,94,,,10076,,3978,14,361,14112,4938
2004,7,3550308,Capital,281,304,0,0,81,5,214,0,2768,2102,113,12,13,98,,,9383,,4085,18,367,13681,5014
2004,8,3550308,Capital,256,269,0,0,65,5,245,0,3127,2305,106,11,14,109,,,9785,,4126,29,348,14358,5011
2004,9,3550308,Capital,283,286,0,0,59,2,232,0,3263,2241,223,17,28,110,,,9306,,3982,19,365,14403,4653
2004,10,3550308,Capital,270,279,0,0,60,2,197,0,3202,2258,120,7,8,100,,,9218,,4109,24,374,14360,5032
2004,11,3550308,Capital,205,234,0,0,51,2,212,0,2925,2242,138,8,6,139,,,8992,,3321,15,280,13949,4054
2004,12,3550308,Capital,267,290,0,0,69,1,240,0,3545,2441,139,5,10,100,,,8800,,3384,13,345,15011,3426
2007,1,3550308,Capital,141,140,0,0,61,4,138,0,3074,2168,137,2,3,80,,,8388,,3124,17,307,13936,4239
2007,2,3550308,Capital,133,156,0,0,44,2,139,0,3191,2264,81,5,6,86,,,8097,,2694,24,293,13048,3750
2007,3,3550308,Capital,125,130,0,0,78,4,136,0,3577,2653,104,1,8,85,,,9569,,3311,26,349,12795,3883
2007,4,3550308,Capital,147,151,0,0,69,3,101,0,3012,2399,85,3,4,74,,,9396,,2968,13,302,13035,4186
2007,5,3550308,Capital,125,140,0,0,68,6,79,0,2844,2481,100,4,11,60,,,9808,,3146,14,343,13974,4509
2007,6,3550308,Capital,106,120,0,0,67,3,89,0,3150,2441,146,1,7,57,,,9288,,2828,11,274,12425,4167
2007,7,3550308,Capital,113,118,0,0,60,6,92,0,2702,2368,95,3,3,79,,,9144,,2946,9,292,11956,3850
2007,8,3550308,Capital,136,148,0,0,65,5,99,0,3042,2603,179,7,7,84,,,9870,,3174,10,332,12509,4038
2007,9,3550308,Capital,131,144,0,0,72,8,93,0,3299,2614,172,1,1,97,,,8806,,2762,10,300,10609,3118
2007,10,3550308,Capital,125,132,0,0,61,15,108,0,3349,2595,134,4,4,106,,,9287,,2869,22,347,11622,3238
2007,11,3550308,Capital,122,129,0,0,61,5,93,0,3038,2428,227,7,7,82,,,8905,,2517,12,335,10664,3064
2007,12,3550308,Capital,134,140,0,0,63,5,111,0,3289,2490,166,4,4,87,,,8218,,1971,8,299,10698,2091
2006,1,3550308,Capital,173,183,0,0,80,13,155,0,3756,2066,120,4,7,108,,,8373,,3112,27,261,13409,4410
2006,2,3550308,Capital,172,183,0,0,56,5,159,0,3693,2094,100,2,9,80,,,8190,,3037,20,266,12658,4358
2006,3,3550308,Capital,177,208,0,0,66,4,161,0,3861,2441,123,4,3,123,,,9611,,3749,27,383,15535,5207
2006,4,3550308,Capital,176,199,0,0,64,2,152,0,3490,2358,113,9,6,82,,,8923,,3487,26,316,14246,4579
2006,5,3550308,Capital,218,252,0,0,57,6,179,0,2748,2200,112,2,5,90,,,9013,,2968,24,307,15787,4524
2006,6,3550308,Capital,168,181,0,0,60,1,167,0,3215,2295,104,4,2,95,,,9312,,3341,27,262,15571,4637
2006,7,3550308,Capital,166,181,0,0,66,3,166,0,3015,2197,111,4,5,95,,,8979,,3117,24,286,14754,4734
2006,8,3550308,Capital,176,203,0,0,87,4,150,0,3043,2286,112,2,8,87,,,9037,,3149,32,301,15038,4814
2006,9,3550308,Capital,136,133,0,0,73,4,132,0,3040,2472,118,2,7,80,,,8787,,3124,34,285,11909,4001
2006,10,3550308,Capital,123,143,0,0,70,4,146,0,3215,2437,95,4,3,76,,,9080,,3223,23,293,13486,4389
2006,11,3550308,Capital,158,178,0,0,50,7,170,0,3125,2389,123,6,7,101,,,8470,,3028,24,293,15284,4453
2006,12,3550308,Capital,138,145,0,0,66,2,165,0,3157,2461,105,2,3,79,,,8120,,2422,13,277,14491,2719
2002,1,3550308,Capital,449,475,0,0,66,4,224,0,2226,1384,79,18,18,125,,,10504,,3922,4,131,11851,5118
2002,2,3550308,Capital,373,396,0,0,56,9,223,0,2148,1352,108,15,17,97,,,9325,,3986,8,147,9925,4827
2002,3,3550308,Capital,474,499,0,0,68,6,248,0,2684,1882,81,21,21,102,,,10572,,4289,7,139,9903,4966
2002,4,3550308,Capital,403,427,0,0,79,7,215,0,2675,1727,100,25,25,127,,,11082,,4030,3,155,10056,4405
2002,5,3550308,Capital,391,410,0,0,79,5,208,0,2503,1777,91,18,18,121,,,10804,,3950,7,161,9868,4426
2002,6,3550308,Capital,346,371,0,0,74,4,204,0,2432,1658,93,19,20,101,,,9381,,3271,5,147,9370,3999
2002,7,3550308,Capital,337,355,0,0,64,6,189,0,2286,1509,99,16,16,80,,,9670,,3295,4,176,10431,4198
2002,8,3550308,Capital,353,361,0,0,64,6,193,0,2410,1784,127,15,15,112,,,9809,,3334,0,142,10720,4186
2002,9,3550308,Capital,348,362,0,0,67,5,192,0,2428,1767,151,9,10,97,,,9272,,3170,3,121,9748,3713
2002,10,3550308,Capital,367,385,0,0,56,5,236,0,3211,1844,112,14,15,143,,,10629,,3724,3,191,11610,4704
2002,11,3550308,Capital,387,418,0,0,69,5,259,0,2763,1799,102,8,8,106,,,9908,,3490,6,194,11209,4395
2002,12,3550308,Capital,403,413,0,0,76,18,246,0,3290,1942,254,13,13,91,,,9750,,3160,5,146,11710,3725
2003,1,3550308,Capital,382,404,0,0,50,9,250,0,2848,1488,202,14,14,105,,,10063,,3443,6,147,11469,4272
2003,2,3550308,Capital,399,424,0,0,76,14,219,0,3242,1799,198,19,19,121,,,10212,,3588,4,186,10643,4047
2003,3,3550308,Capital,393,414,0,0,70,12,288,0,3153,1848,95,16,15,104,,,11035,,3704,5,156,11198,4191
2003,4,3550308,Capital,360,375,0,0,84,9,225,0,2787,1792,95,19,19,100,,,11131,,3598,6,145,11226,4278
2003,5,3550308,Capital,348,362,0,0,74,7,235,0,2599,1900,88,22,22,128,,,11990,,3947,8,140,12130,4620
2003,6,3550308,Capital,357,371,0,0,61,2,215,0,2855,1863,101,14,14,101,,,10988,,3484,6,138,11530,4020
2003,7,3550308,Capital,343,367,0,0,68,12,207,0,2689,1864,205,12,12,103,,,11416,,3504,7,201,12260,4531
2003,8,3550308,Capital,391,413,0,0,72,14,200,0,2725,1891,166,11,11,114,,,11305,,3352,7,147,12102,4420
2003,9,3550308,Capital,329,346,0,0,51,24,206,0,2742,2177,167,7,7,102,,,11805,,3590,7,173,12214,4643
2003,10,3550308,Capital,330,348,0,0,69,30,175,0,2931,2208,203,21,21,106,,,11664,,3717,5,180,12767,4523
2003,11,3550308,Capital,318,337,0,0,55,14,210,0,3164,2230,181,18,18,79,,,10696,,3089,3,233,12223,4175
2003,12,3550308,Capital,326,341,0,0,67,5,214,0,3172,2266,155,10,10,98,,,10033,,2853,5,224,12324,3282
2005,1,3550308,Capital,276,290,0,0,47,4,254,0,3505,1812,133,9,9,99,,,8534,,3633,16,333,13231,4788
2005,2,3550308,Capital,254,275,0,0,42,2,198,0,3216,1909,96,14,12,96,,,8137,,3686,11,299,12291,4695
2005,3,3550308,Capital,230,237,0,0,60,2,213,0,3547,2317,134,5,7,108,,,9339,,3710,24,320,14557,4979
2005,4,3550308,Capital,217,224,0,0,80,4,203,0,3476,2351,130,11,16,102,,,9497,,3687,23,281,14699,4762
2005,5,3550308,Capital,239,241,0,0,77,7,189,0,3311,2440,143,9,13,119,,,10101,,3837,18,294,16335,4974
2005,6,3550308,Capital,196,219,0,0,89,2,166,0,3168,2336,163,8,10,103,,,9430,,3951,19,313,14817,5236
2005,7,3550308,Capital,179,210,0,0,83,6,187,0,3074,2294,196,5,9,103,,,9692,,3919,21,322,14826,5223
2005,8,3550308,Capital,187,227,0,0,83,2,171,0,3343,2510,146,4,8,118,,,9765,,3811,20,311,15438,5142
2005,9,3550308,Capital,155,179,0,0,55,5,175,0,3092,2255,181,3,6,116,,,9355,,3639,23,292,14921,5252
2005,10,3550308,Capital,184,206,0,0,67,2,183,0,3671,2400,91,3,4,117,,,9469,,3877,18,306,15029,5121
2005,11,3550308,Capital,193,195,0,0,66,3,167,0,3395,2403,111,6,6,108,,,9129,,3490,22,364,15181,4460
2005,12,3550308,Capital,158,181,0,0,91,1,151,0,3563,2549,102,4,5,102,,,8597,,2868,28,288,14794,2983
2009,1,3550308,Capital,103,107,0,0,52,6,98,0,3157,1735,87,11,11,109,,,10187,,3109,12,375,14216,3313
2009,2,3550308,Capital,90,96,0,0,55,6,106,0,3159,1769,94,6,6,87,,,9960,,3064,8,373,12086,3243
2009,3,3550308,Capital,112,120,0,0,64,6,97,0,3622,2209,102,10,10,127,,,11005,,3496,15,418,13847,3983
2009,4,3550308,Capital,113,120,0,0,58,3,107,0,3124,2085,90,13,13,85,,,10379,,3118,18,412,13990,3793
2009,5,3550308,Capital,125,125,0,0,54,8,106,0,3109,2139,78,8,8,115,,,10865,,3173,9,392,16061,3939
2009,6,3550308,Capital,86,92,0,0,70,3,104,0,2807,2066,125,4,4,81,,,10893,,3139,14,370,15802,3975
2009,7,3550308,Capital,92,97,0,0,60,6,72,0,2820,1805,90,9,9,64,,,10982,,3042,15,442,15243,3741
2009,8,3550308,Capital,92,97,0,0,64,5,87,0,3062,2113,97,7,7,108,,,10448,,2918,9,397,15621,3833
2009,9,3550308,Capital,94,97,0,0,65,3,96,0,3198,2042,93,11,12,159,,,9998,,2879,14,398,14387,3607
2009,10,3550308,Capital,109,114,0,0,50,5,90,0,3260,2195,137,4,4,223,,,10169,,2868,15,452,14734,3498
2009,11,3550308,Capital,105,116,0,0,47,7,101,0,3921,2128,170,14,14,227,,,9371,,2616,24,438,13801,3459
2009,12,3550308,Capital,113,117,0,0,58,7,106,0,3583,2268,111,3,3,208,,,9082,,2532,18,378,15793,2734
2010,1,3550308,Capital,125,131,0,0,51,5,103,,3184,1822,99,9,9,211,,,8546,,2858,14,316,13526,3265
2010,2,3550308,Capital,126,130,0,0,43,3,107,,2977,1866,102,6,6,201,,,8382,,2754,16,338,12278,3131
2010,3,3550308,Capital,125,137,0,0,50,2,102,,3238,2439,119,10,10,226,,,9809,,3157,18,415,12303,3530
2010,4,3550308,Capital,107,109,0,0,72,4,75,,2952,2145,169,1,1,191,,,9291,,2916,18,386,12092,3334
2010,5,3550308,Capital,104,115,0,0,82,7,83,,2804,2307,135,9,9,210,,,9687,,2877,11,396,13925,3479
2010,6,3550308,Capital,73,74,0,0,59,6,81,,2758,2252,194,6,6,204,,,9330,,2910,9,310,15424,3738
2010,7,3550308,Capital,87,93,0,0,51,11,76,,2738,2038,115,9,9,217,,,9789,,2940,6,349,14873,3844
2010,8,3550308,Capital,84,87,0,0,63,5,94,,3025,2354,127,9,9,221,,,9464,,2923,10,325,15928,4086
2010,9,3550308,Capital,98,104,0,0,62,6,100,,3079,2252,134,9,9,232,,,9291,,2847,12,371,15647,3965
2010,10,3550308,Capital,81,86,0,0,46,2,81,,3096,2138,126,2,2,210,,,9411,,2977,9,355,14586,4134
2010,11,3550308,Capital,94,97,0,0,49,5,97,,3117,2196,127,1,1,195,,,8881,,2949,8,464,13945,3702
2010,12,3550308,Capital,92,100,0,0,63,8,104,,3478,2165,151,5,5,195,,,8888,,2791,10,450,15654,2722
2017,1,3550308,Capital,55,58,2,2,26,1,77,1,2426,1129,89,13,13,205,66,139,13012,12488,2881,5,519,14252,3227
2017,2,3550308,Capital,70,77,0,0,33,4,63,0,2495,1116,77,11,12,187,65,122,13007,12493,2776,6,508,18323,3329
2017,3,3550308,Capital,63,66,2,2,36,2,74,0,2746,1405,107,10,10,221,84,137,14927,14337,3023,4,586,18006,3980
2017,4,3550308,Capital,76,86,1,1,49,1,84,0,2437,1274,75,7,7,159,52,107,12480,12066,2705,3,411,14409,3529
2017,5,3550308,Capital,45,50,2,2,46,5,82,0,2384,1440,90,15,15,225,85,140,13870,13372,2751,5,493,16486,3886
2017,6,3550308,Capital,49,53,1,1,37,2,67,0,2293,1321,80,17,17,190,64,126,12933,12419,2545,3,511,16424,3443
2017,7,3550308,Capital,44,49,2,2,37,1,51,0,2265,1390,64,10,10,197,65,132,12168,11718,2619,2,448,15541,3538
2017,8,3550308,Capital,51,58,2,2,22,2,55,0,2500,1335,125,7,7,190,74,116,12842,12316,2597,2,524,16728,3751
2017,9,3550308,Capital,58,60,2,4,25,3,62,0,2708,1190,84,2,2,222,76,146,11876,11480,2532,1,395,15368,3527
2017,10,3550308,Capital,51,58,1,2,22,3,64,1,2763,1190,89,7,7,279,103,176,12441,11980,2662,4,457,16613,3837
2017,11,3550308,Capital,70,76,2,3,26,1,60,0,2500,1105,80,9,9,262,101,161,11723,11296,2667,4,423,15760,3731
2017,12,3550308,Capital,81,86,2,2,36,3,68,1,2702,1138,79,9,9,209,91,118,11327,10853,2676,2,472,15776,2769
2012,1,3550308,Capital,84,92,1,2,62,33,116,,3564,1947,169,7,7,218,,,8582,,3430,7,340,14638,3322
2012,2,3550308,Capital,78,83,3,4,56,3,115,,3864,2025,142,7,8,213,,,8836,,3604,10,365,14434,3470
2012,3,3550308,Capital,96,99,4,5,49,4,123,,4283,2362,144,8,8,257,,,10152,,4275,14,437,17243,4378
2012,4,3550308,Capital,103,106,3,3,39,9,120,,3673,2223,112,9,9,233,,,9600,,4025,5,392,17287,3873
2012,5,3550308,Capital,103,108,1,1,54,3,123,,3551,2467,165,16,16,260,,,11113,,4254,10,456,18348,3930
2012,6,3550308,Capital,122,134,0,0,50,4,144,,3213,2130,143,9,9,292,,,9934,,3440,7,400,15562,3320
2012,7,3550308,Capital,92,102,1,1,59,4,107,,3357,2158,79,12,12,248,,,9616,,3380,13,380,15793,3541
2012,8,3550308,Capital,106,114,2,2,49,6,134,,3778,2609,106,4,4,297,,,9813,,3667,7,356,17386,4030
2012,9,3550308,Capital,134,143,3,3,75,4,104,,3458,2432,93,12,12,300,,,9115,,3292,13,263,16316,3365
2012,10,3550308,Capital,150,176,1,1,43,9,160,,3882,2464,118,6,6,329,,,9237,,3496,12,329,18060,3748
2012,11,3550308,Capital,144,170,1,1,42,5,170,,3360,2117,100,7,8,295,,,8426,,3277,8,327,17155,3330
2012,12,3550308,Capital,156,170,2,2,50,5,193,,3808,2239,97,4,4,255,,,8620,,3880,9,308,17206,2618
2013,1,3550308,Capital,98,109,0,0,44,3,127,,3391,1836,100,15,15,269,,,9463,,3776,10,332,16627,3879
2013,2,3550308,Capital,89,91,0,0,31,7,118,,3430,1892,118,15,15,287,,,8928,,3557,6,348,15025,3487
