name_muni,abbrev_state,capital,ano,value,code_muni,code_state
Aracaju,SE,Aracaju - Se,2000,130268,2800308,28
Aracaju,SE,Aracaju - Se,2020,208303,2800308,28
Aracaju,SE,Aracaju - Se,2019,185122,2800308,28
Aracaju,SE,Aracaju - Se,2018,214373,2800308,28
Aracaju,SE,Aracaju - Se,2017,216126,2800308,28
Aracaju,SE,Aracaju - Se,2016,218025,2800308,28
Aracaju,SE,Aracaju - Se,2015,219064,2800308,28
Aracaju,SE,Aracaju - Se,2014,234200,2800308,28
Aracaju,SE,Aracaju - Se,2013,224587,2800308,28
Aracaju,SE,Aracaju - Se,2012,221813,2800308,28
Aracaju,SE,Aracaju - Se,2011,216226,2800308,28
Aracaju,SE,Aracaju - Se,2010,208667,2800308,28
Aracaju,SE,Aracaju - Se,2009,195162,2800308,28
Aracaju,SE,Aracaju - Se,2008,184129,2800308,28
Aracaju,SE,Aracaju - Se,2007,187886,2800308,28
Aracaju,SE,Aracaju - Se,2006,179102,2800308,28
Aracaju,SE,Aracaju - Se,2005,163190,2800308,28
Aracaju,SE,Aracaju - Se,2004,152594,2800308,28
Aracaju,SE,Aracaju - Se,2003,146361,2800308,28
Aracaju,SE,Aracaju - Se,2002,143951,2800308,28
Aracaju,SE,Aracaju - Se,2001,133097,2800308,28
Belo Horizonte,MG,Belo Horizonte - Mg,2000,916238,3106200,31
Belo Horizonte,MG,Belo Horizonte - Mg,2020,1203945,3106200,31
Belo Horizonte,MG,Belo Horizonte - Mg,2019,1200871,3106200,31
Belo Horizonte,MG,Belo Horizonte - Mg,2018,1179500,3106200,31
Belo Horizonte,MG,Belo Horizonte - Mg,2017,1177785,3106200,31
Belo Horizonte,MG,Belo Horizonte - Mg,2016,1176985,3106200,31
Belo Horizonte,MG,Belo Horizonte - Mg,2015,1216511,3106200,31
Belo Horizonte,MG,Belo Horizonte - Mg,2014,1354683,3106200,31
Belo Horizonte,MG,Belo Horizonte - Mg,2013,1377682,3106200,31
Belo Horizonte,MG,Belo Horizonte - Mg,2012,1411147,3106200,31
Belo Horizonte,MG,Belo Horizonte - Mg,2011,1370942,3106200,31
Belo Horizonte,MG,Belo Horizonte - Mg,2010,1356769,3106200,31
Belo Horizonte,MG,Belo Horizonte - Mg,2009,1285608,3106200,31
Belo Horizonte,MG,Belo Horizonte - Mg,2008,1265316,3106200,31
Belo Horizonte,MG,Belo Horizonte - Mg,2007,1215157,3106200,31
Belo Horizonte,MG,Belo Horizonte - Mg,2006,1079244,3106200,31
Belo Horizonte,MG,Belo Horizonte - Mg,2005,1072389,3106200,31
Belo Horizonte,MG,Belo Horizonte - Mg,2004,997273,3106200,31
Belo Horizonte,MG,Belo Horizonte - Mg,2003,940846,3106200,31
Belo Horizonte,MG,Belo Horizonte - Mg,2002,927121,3106200,31
Belo Horizonte,MG,Belo Horizonte - Mg,2001,896256,3106200,31
Bel√©m,PA,BelÈm - Pa,2000,261569,1501402,15
Bel√©m,PA,BelÈm - Pa,2020,398714,1501402,15
Bel√©m,PA,BelÈm - Pa,2019,396699,1501402,15
Bel√©m,PA,BelÈm - Pa,2018,409277,1501402,15
Bel√©m,PA,BelÈm - Pa,2017,398223,1501402,15
Bel√©m,PA,BelÈm - Pa,2016,408053,1501402,15
Bel√©m,PA,BelÈm - Pa,2015,416999,1501402,15
Bel√©m,PA,BelÈm - Pa,2014,423896,1501402,15
Bel√©m,PA,BelÈm - Pa,2013,439501,1501402,15
Bel√©m,PA,BelÈm - Pa,2012,409942,1501402,15
Bel√©m,PA,BelÈm - Pa,2011,420023,1501402,15
Bel√©m,PA,BelÈm - Pa,2010,391168,1501402,15
Bel√©m,PA,BelÈm - Pa,2009,357645,1501402,15
Bel√©m,PA,BelÈm - Pa,2008,357877,1501402,15
Bel√©m,PA,BelÈm - Pa,2007,331791,1501402,15
Bel√©m,PA,BelÈm - Pa,2006,315601,1501402,15
Bel√©m,PA,BelÈm - Pa,2005,294983,1501402,15
Bel√©m,PA,BelÈm - Pa,2004,286530,1501402,15
Bel√©m,PA,BelÈm - Pa,2003,275925,1501402,15
Bel√©m,PA,BelÈm - Pa,2002,278447,1501402,15
Bel√©m,PA,BelÈm - Pa,2001,265545,1501402,15
Boa Vista,RR,Boa Vista - Rr,2000,22541,1400100,14
