Data;PIB - preços de mercado - variação real anual - (% a.a.) - Instituto Brasileiro de Geografia e Estatística, Sistema de Contas Nacionais (IBGE/SCN Anual) - SCN10_PIBG10;
1901;14,3646408839779;
1902;-0,483091787439605;
1903;1,94174757281553;
1904;1,42857142857142;
1905;3,28638497652582;
1906;12,7272727272727;
1907;0,806451612903225;
1908;-3,2;
1909;10,3305785123967;
1910;2,62172284644195;
1911;5,83941605839418;
1912;6,89655172413792;
1913;2,90322580645161;
1914;-1,2539184952978;
1915;0,317460317460316;
1916;0,949367088607578;
1917;9,40438871473355;
1918;-2,00573065902577;
1919;7,89473684210524;
1920;12,4661246612466;
1921;1,9;
1922;7,8;
1923;8,6;
1924;1,4;
1925;0;
1926;5,2;
1927;10,8;
1928;11,5;
1929;1,1;
1930;-2,1;
1931;-3,3;
1932;4,3;
1933;8,9;
1934;9,2;
1935;3;
1936;12,1;
1937;4,6;
1938;4,5;
1939;2,5;
1940;-1;
1941;4,9;
1942;-2,7;
1943;8,5;
1944;7,6;
1945;3,2;
1946;11,6;
1947;2,4;
1948;9,7;
1949;7,7;
1950;6,8;
1951;4,90000000000001;
1952;7,3;
1953;4,7;
1954;7,8;
1955;8,8;
1956;2,90000000000001;
1957;7,7;
1958;10,8;
1959;9,8;
1960;9,40000000000001;
1961;8,59999999999999;
1962;6,59999999999999;
1963;0,599999999999994;
1964;3,40000000000001;
1965;2,40000000000001;
1966;6,7;
1967;4,2;
1968;9,8;
1969;9,5;
1970;10,4;
1971;11,3429219931908;
1972;11,9403481162508;
1973;13,9687217796781;
1974;8,15393868457188;
1975;5,16664908406304;
1976;10,2571295347873;
1977;4,93432806978934;
1978;4,96989768924753;
1979;6,75956012204072;
1980;9,2;
1981;-4,25;
1982;0,829999999999998;
1983;-2,93000000000001;
1984;5,40000000000001;
1985;7,84999999999999;
1986;7,49;
1987;3,53;
1988;-0,0600000000000023;
1989;3,16;
1990;-4,34999999999999;
1991;1,03218958546951;
1992;-0,544072051030355;
1993;4,9246900046376;
1994;5,85287036438973;
1995;4,22379363364715;
1996;2,20886405051457;
1997;3,39484598531594;
1998;0,338097901952324;
1999;0,46793756667951;
2000;4,38794944364879;
2001;1,38989640445809;
2002;3,05346185683617;
2003;1,14082899877108;
2004;5,75996463685999;
2005;3,20213206216241;
2006;3,96198870899485;
2007;6,06987060733152;
2008;5,09419544811993;
2009;-0,125812002991623;
2010;7,52822581812163;
2011;3,97442307944702;
2012;1,92117598509454;
2013;3,00482267028886;
2014;0,50395574027327;
2015;-3,54576339347284;
2016;-3,27591690632106;
2017;1,32286905390816;
2018;1,78366676136999;
2019;1,22077782271946;
2020;-3,87867633425774;
2021;4,61942162064213;
