"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 01, 2022","82,754.14","82,833.93","82,848.85","81,980.54","-","-0.13%"
"May 31, 2022","82,865.39","82,554.77","83,170.76","82,341.83","-","0.68%"
"May 30, 2022","82,307.80","83,562.71","83,761.02","82,133.72","-","-1.21%"
"May 27, 2022","83,319.65","84,019.18","84,023.66","83,213.96","-","-0.94%"
"May 26, 2022","84,114.20","85,297.04","85,458.02","84,012.28","-","-1.32%"
"May 25, 2022","85,235.56","85,124.63","85,817.75","84,957.79","-","-0.04%"
"May 24, 2022","85,265.44","84,010.44","85,304.18","84,010.44","-","1.10%"
"May 23, 2022","84,333.69","84,120.66","84,820.23","84,120.66","-","0.65%"
"May 20, 2022","83,786.28","83,644.06","83,919.71","82,938.33","-","0.55%"
"May 19, 2022","83,327.36","82,334.13","83,721.33","82,023.41","-","1.20%"
"May 18, 2022","82,339.83","83,386.67","83,531.91","82,179.04","-","-1.15%"
"May 17, 2022","83,301.36","82,229.00","83,876.77","82,229.00","-","1.87%"
"May 16, 2022","81,772.46","81,096.23","82,086.40","81,082.14","-","0.78%"
"May 13, 2022","81,141.17","80,780.59","81,809.43","80,438.88","-","0.66%"
"May 12, 2022","80,612.71","79,866.10","80,863.64","79,733.45","-","0.60%"
"May 11, 2022","80,132.68","80,965.36","81,188.89","79,980.43","-","-1.02%"
"May 10, 2022","80,961.49","81,059.99","81,704.18","80,484.99","-","0.18%"
"May 09, 2022","80,812.42","80,458.63","81,330.34","79,953.20","-","0.03%"
"May 06, 2022","80,786.69","81,465.49","82,052.06","80,671.96","-","-0.91%"
"May 05, 2022","81,527.22","83,013.31","83,013.31","80,852.73","-","-2.15%"
"May 04, 2022","83,315.69","81,618.37","83,315.69","80,793.31","-","1.61%"
"May 03, 2022","81,998.80","81,971.12","82,586.88","81,762.21","-","-0.04%"
"May 02, 2022","82,029.00","83,246.72","83,273.97","81,351.05","-","-1.39%"
"Apr 29, 2022","83,185.41","85,075.22","85,648.51","83,185.41","-","-1.89%"
"Apr 28, 2022","84,792.18","84,468.84","85,118.63","84,375.98","-","0.35%"
