ano,code_muni,total_pop,index_pop,total_domi,index_domi,total_jobs,index_jobs
2000,1100205,334661,100,83744,100,77113,100
2000,1302603,1405835,100,326837,100,226503,100
2000,1200401,253059,100,64010,100,53749,100
2000,5002704,663621,100,185559,100,152114,100
2000,1600303,283308,100,60369,100,41033,100
2000,5300108,2051146,100,547465,100,812361,100
2000,1400100,200568,100,48715,100,22541,100
2000,5103403,483346,100,126912,100,119749,100
2000,1721000,137355,100,35097,100,51817,100
2000,3550308,10435546,100,2984416,100,3212039,100
2000,2211001,715360,100,169750,100,124382,100
2000,3304557,5857904,100,1801863,100,1732918,100
2000,1501402,1280614,100,296195,100,261569,100
2000,5208707,1093007,100,313633,100,325547,100
2000,2927408,2443107,100,651008,100,578657,100
2000,4205407,342315,100,103837,100,167647,100
2000,2111300,870028,100,202144,100,172478,100
2000,2704302,797759,100,199708,100,136706,100
2000,4314902,1360590,100,440365,100,552141,100
2000,4106902,1587315,100,470964,100,568581,100
2000,3106200,2238526,100,628334,100,916238,100
2000,2304400,2141402,100,525991,100,413938,100
2000,2611606,1422905,100,375857,100,453568,100
2000,2507507,597934,100,151729,100,170410,100
2000,2800308,461534,100,116632,100,130268,100
2000,2408102,712317,100,177665,100,179137,100
2000,3205309,292304,100,85514,100,149116,100
2001,1100205,342264,102.27185121660428,88167.11946810724,105.28171506986439,72179,93.60159765538884
2001,1302603,1451958,103.28082598597985,338989.6961146351,103.71827428186988,241236,106.50454960861447
2001,1200401,261430,103.30792423901146,65903.67509051261,102.9584050781325,56012,104.21031088950492
2001,5002704,679281,102.35978065793579,192857.3238815733,103.9331554285016,157253,103.37838726218493
2001,1600303,295898,104.44392675109775,71029.37102629787,117.65868413639097,39430,96.09338824848292
2001,5300108,2097447,102.25732346697896,558587.6116835008,102.03165712575249,781380,96.18630141033358
2001,1400100,208514,103.9617486338798,53722.57620663622,110.27933122577487,26133,115.93540659243158
2001,5103403,492894,101.97539650685017,137789.2010830915,108.57066399008093,120489,100.61795923139233
2001,1721000,150884,109.84965964107604,38184.121654160124,108.79597018024367,57782,111.51166605554161
2001,3550308,10499133,100.60933083903802,3035288.442100942,101.7046029139685,3212022,99.99947074117095
2001,2211001,728881,101.89009729367031,175006.9,103.09684830633283,154949,124.57509929089419
2001,3304557,5897485,100.67568536459457,1818297.162948758,100.91206506536612,1744191,100.65052125951719
2001,1501402,1304314,101.85067475445373,305643.1353718909,103.18983621326858,265545,101.52005780501511
2001,5208707,1111622,101.70309979716508,332084.7881614677,105.88324192972924,349436,107.33811093329074
2001,2927408,2485702,101.74347664674532,683186.8337237143,104.94292446847264,544568,94.108945368327
2001,4205407,352401,102.94640900924588,108435.59038718362,104.42866260310257,171380,102.2267025356851
2001,2111300,889129,102.19544658332835,215900.06717591552,106.80508309715624,179301,103.95586683519058
2001,2704302,817444,102.46753718854941,204170.95272037535,102.23473907924337,141214,103.29758752359078
2001,4314902,1373313,100.93510903358103,460155.63418179366,104.49414330879922,560680,101.54652525351315
2001,4106902,1620219,102.0729344837036,487721.0370568087,103.55802928818522,572772,100.73709814432772
2001,3106200,2258857,100.9082315773862,656493.7686236424,104.48165603383588,896256,97.81912559837073
2001,2304400,2183612,101.97113853447415,544974.0364806323,103.60900404771797,422344,102.03073890292748
2001,2611606,1437190,101.0039320966614,385320.64819767594,102.51788531214689,429919,94.7860078312403
2001,2507507,607441,101.5899748132737,158539.8905715284,104.48885221119785,182316,106.9866791854938
2001,2800308,468297,101.46533083153138,121157.36740700621,103.88003927481842,133097,102.17167685079988
2001,2408102,722144,101.37958240502473,194558.13140566915,109.50841831855973,184548,103.02059317728889
2001,3205309,296012,101.2685423394822,91380.91562214446,106.8607662162271,157922,105.90546956731673
2002,1100205,347844,103.93921012606788,90365.61186353081,107.90696869451043,86544,112.23010387353625
2002,1302603,1488805,105.90183058467034,345991.8532306142,105.86067465758595,260690,115.09339832143503
2002,1200401,267740,105.8014138995254,68069.79507720716,106.34243880207337,57993,107.89596085508568
2002,5002704,692549,104.35911461511918,196902.3236376594,106.11305495161076,170479,112.07318195563853
2002,1600303,306583,108.21544043938047,74582.82803506384,123.54491218185466,48426,118.01720566373406
2002,5300108,2145839,104.61658994532812,572638.3601559452,104.59816794789533,813591,100.1514105182302
2002,1400100,214541,106.96671453073272,55643.59693618123,114.22271771770755,27561,122.27052925779691
2002,5103403,500288,103.50514952021948,141582.32750955177,111.55944868062262,132274,110.45937753133639
2002,1721000,161137,117.3142586727822,40934.87445905933,116.63354263629178,65193,125.81392207190692
2002,3550308,10600060,101.57647716755788,3082691.287443554,103.29294868555705,3360921,104.63512429332272
2002,2211001,740016,103.44665622903153,180263.8,106.19369661266569,167932,135.01310479008217
2002,3304557,5937253,101.35456299727683,1838711.7268782053,102.04503488213061,1793798,103.51314949697563
2002,1501402,1322683,103.28506482046893,310206.91609922156,104.73063897068538,278447,106.45259950529307
2002,5208707,1129274,103.31809402867502,341697.9239829767,108.94833259987841,370431,113.78725652517147
2002,2927408,2520504,103.16797422298735,697287.5241662199,107.10890252749887,554971,95.90672885664566
2002,4205407,360601,105.34186348830757,110987.86652567278,106.88662666070165,179146,106.85905503826491
2002,2111300,906567,104.1997498931069,223222.85775954445,110.42764453040628,176170,102.14056285439301
2002,2704302,833261,104.45021616804073,209337.43283368502,104.82175618086657,148256,108.44878790982106
2002,4314902,1383454,101.6804474529432,466932.93038974045,106.03316121620483,553308,100.21135905502399
2002,4106902,1644600,103.60892450458795,496537.8281077344,105.43010253601854,585972,103.05866710284022
2002,3106200,2284468,102.05233265103912,667141.6880988417,106.17628333001903,927121,101.18779181828302
2002,2304400,2219837,103.66278727674674,555898.317445176,105.68589908290748,440636,106.44975817634526
2002,2611606,1449135,101.84341189327468,390749.63906496216,103.9623152063051,437873,96.53965888246084
2002,2507507,619049,103.53132619988159,164288.93016551033,108.27787052278097,183289,107.55765506719088
2002,2800308,473991,102.69904275741332,125867.36800523134,107.91838260960229,143951,110.50373077041175
2002,2408102,734505,103.11490530199336,200189.17520755884,112.67789109141297,150339,83.92403579383377
2002,3205309,299357,102.41289889977558,93793.1843385101,109.6816712333771,169233,113.490839346549
2003,1100205,353961,105.76702991982931,92986.99924093777,111.03720772943468,90189,116.95693333160426
2003,1302603,1527314,108.64105673852194,354731.4023955526,108.53465256245546,282703,124.81203339470117
2003,1200401,274555,108.49446176583326,70499.83686647273,110.13878591856387,57061,106.16197510651362
