"Endereco Completo";"Bairro";"Ano de Construcao (Unidade)";"Area Terreno Total";"Area Construida Adquirida";"Area Adquirida (Unidades Somadas)";"Padrao Acabamento (Unidade)";"Fracao Ideal Adquirida";"Tipo Construtivo Preponderante";"Descrição Tipo Ocupacao (Unidade)";"Valor Base Calculo";"Valor Imposto Cobrado (sumarizado)";"Zona Uso ITBI";"Data Inclusao Transacao"
"ALA DAS FALCATAS - SAO LUIZ - 31275-070 - BELO HORIZONTE - MG";"SAO LUIZ";"0";"1000";"0";"0";"TE";"1";"LV";"TERRITORIAL";"1089000";"163350";"ZP2";"2021/08/02 00:00:00"
"ALA DOS COQUEIROS 50 - SAO LUIZ - 31270-820 - BELO HORIZONTE - MG";"SAO LUIZ";"1998";"1000";"443";"443";"P4";"1";"CA";"RESIDENCIAL";"1822667";"109360,02";"ZP2";"2021/08/18 10:59:01"
"AVE ABILIO MACHADO 1264 - SALA 508 - INCONFIDENCIA - 30820-272 - BELO HORIZONTE - MG";"INCONFIDENCIA";"2000";"1247,75";"37,06";"37,06";"P3";"0,006563";"SL";"NAO RESIDENCIAL";"107448,58";"3223,45";"ZAR2";"2021/08/24 00:00:00"
"AVE ABILIO MACHADO 1264 - SALA 905 - INCONFIDENCIA - 30820-272 - BELO HORIZONTE - MG";"INCONFIDENCIA";"2000";"1247,75";"37,06";"37,06";"P3";"0,006563";"SL";"NAO RESIDENCIAL";"107448,58";"3223,45";"ZAR2";"2021/08/03 00:00:00"
"AVE AFONSO PENA 2709 - APT 902 - FUNCIONARIOS - 30130-011 - BELO HORIZONTE - MG";"FUNCIONARIOS";"1970";"2380";"106,57";"106,57";"P3";"0,00655";"AP";"RESIDENCIAL";"500000";"15000";"ZCBH";"2021/08/27 09:39:16"
"AVE AFONSO PENA 2770 - SALA 1601 - SAVASSI - 30130-012 - BELO HORIZONTE - MG";"SAVASSI";"1999";"700,59";"242,9";"242,9";"P5";"0,046016";"SL";"NAO RESIDENCIAL";"1499998,89";"44999,96";"ZCBH";"2021/08/06 09:23:26"
"AVE AFONSO PENA 3351 - SALA 308 - SERRA - 30130-008 - BELO HORIZONTE - MG";"SERRA";"1994";"1070";"38,07";"38,07";"P4";"0,00808";"SL";"NAO RESIDENCIAL";"173477,38";"5204,32";"ZA";"2021/08/20 12:44:40"
"AVE AFONSO XIII 488 - APT 201 - GUTIERREZ - 30441-061 - BELO HORIZONTE - MG";"GUTIERREZ";"1969";"4011";"103,66";"103,66";"P3";"0,010982";"AP";"RESIDENCIAL";"401869,08";"12056,07";"ZA";"2021/08/03 00:00:00"
"AVE AFONSO XIII 488 - BLOCO C APT 102 - GUTIERREZ - 30441-061 - BELO HORIZONTE - MG";"GUTIERREZ";"1969";"4011";"116,49";"116,49";"P3";"0,012341";"AP";"RESIDENCIAL";"451608,43";"13548,25";"ZA";"2021/08/19 11:00:43"
"AVE AGGEO PIO SOBRINHO 201 - APT 101 BLOCO 2 - BURITIS - 30575-834 - BELO HORIZONTE - MG";"BURITIS";"2018";"2953,19";"175";"175";"P4";"0,01699";"AP";"RESIDENCIAL";"575000";"17250";"ZAR2";"2021/08/25 00:00:00"
"AVE AGGEO PIO SOBRINHO 201 - APT 403 BLOCO 2 - BURITIS - 30575-834 - BELO HORIZONTE - MG";"BURITIS";"2018";"2953,19";"164,29";"164,29";"P4";"0,01595";"AP";"RESIDENCIAL";"509999,78";"15299,99";"ZAR2";"2021/08/04 00:00:00"
"AVE AGGEO PIO SOBRINHO 201 - APT 404 BLOCO 2 - BURITIS - 30575-834 - BELO HORIZONTE - MG";"BURITIS";"2018";"2953,19";"164,29";"164,29";"P4";"0,01595";"AP";"RESIDENCIAL";"518750";"15562,5";"ZAR2";"2021/08/19 10:39:52"
"AVE AGGEO PIO SOBRINHO 201 - APT 702 BLOCO 2 - BURITIS - 30575-834 - BELO HORIZONTE - MG";"BURITIS";"2018";"2953,19";"164,29";"328,58";"P4";"0,01595";"AP";"RESIDENCIAL";"509999,78";"30599,98";"ZAR2";"2021/08/13 00:00:00"
"AVE AGGEO PIO SOBRINHO 201 - GARAGE 38/46 BLOCO 2 PAVMTO 6º - BURITIS - 30575-834 - BELO HORIZONTE - MG";"BURITIS";"2018";"2953,19";"24,82";"24,82";"P4";"0,00241";"VR";"RESIDENCIAL";"89103,8";"2673,11";"ZAR2";"2021/08/04 00:00:00"
"AVE AGGEO PIO SOBRINHO 204 - SALA 604 - BURITIS - 30575-834 - BELO HORIZONTE - MG";"BURITIS";"2016";"2907,63";"41,61";"41,61";"P4";"0,00887";"SL";"NAO RESIDENCIAL";"170000";"5100";"ZAR2";"2021/08/02 00:00:00"
"AVE AGGEO PIO SOBRINHO 270 - LOJA 02 - BURITIS - 30575-834 - BELO HORIZONTE - MG";"BURITIS";"2016";"2907,63";"86,5";"86,5";"P4";"0,01844";"LJ";"NAO RESIDENCIAL";"535000";"16050";"ZAR2";"2021/08/02 00:00:00"
"AVE ALFREDO CAMARATE 539 - LOJA 13 - SAO LUIZ - 31310-000 - BELO HORIZONTE - MG";"SAO LUIZ";"2015";"2120,25";"116,17";"116,17";"P1";"0,03633";"LJ";"NAO RESIDENCIAL";"690000";"20700";"ZE";"2021/08/24 16:14:17"
"AVE ALVARES CABRAL 1777 - LOJA 604 - SANTO AGOSTINHO - 30170-008 - BELO HORIZONTE - MG";"SANTO AGOSTINHO";"1997";"2284";"150,8";"150,8";"P4";"0,00842";"LJ";"NAO RESIDENCIAL";"975209,35";"29256,28";"ZCBH";"2021/08/24 10:47:43"
"AVE ALVARES CABRAL 1874 - APT 401 - SANTO AGOSTINHO - 30170-008 - BELO HORIZONTE - MG";"SANTO AGOSTINHO";"1971";"462";"296,66";"296,66";"P3";"0,20516";"AP";"RESIDENCIAL";"991675,05";"29750,25";"ZCBH";"2021/08/03 00:00:00"
"AVE ALVARES CABRAL 377 - APT 1404 - LOURDES - 30170-001 - BELO HORIZONTE - MG";"LOURDES";"1982";"560";"92,26";"92,26";"P3";"0,01263";"AP";"RESIDENCIAL";"335000";"10050";"ZHIP";"2021/08/23 11:08:07"
"AVE ALVARES CABRAL 551 - APT 2903 - LOURDES - 30170-002 - BELO HORIZONTE - MG";"LOURDES";"2014";"1857,1";"266,55";"266,55";"P4";"0,0167";"AP";"RESIDENCIAL";"1826268,08";"54788,04";"ZCBH";"2021/08/03 00:00:00"
"AVE AMAZONAS 115 - SALA 805 - CENTRO - 30180-902 - BELO HORIZONTE - MG";"CENTRO";"1976";"1080";"42,42";"42,42";"P3";"0,002202";"SL";"NAO RESIDENCIAL";"80000";"2400";"ZHIP";"2021/08/05 00:00:00"
"AVE AMAZONAS 135 - SALA 413 - CENTRO - 30180-903 - BELO HORIZONTE - MG";"CENTRO";"1958";"697";"33,8";"33,8";"P3";"0,002639";"SL";"NAO RESIDENCIAL";"89999,96";"2699,99";"ZHIP";"2021/08/22 14:23:17"
"AVE AMAZONAS 298 - ANDAR 7 SALA FRENTE - CENTRO - 30180-904 - BELO HORIZONTE - MG";"CENTRO";"1973";"790";"527,16";"527,16";"P4";"0,030361";"SL";"NAO RESIDENCIAL";"1335085,42";"40052,56";"ZHIP";"2021/08/11 00:00:00"
"AVE AMAZONAS 298 - ANDAR 7 SALA FUNDOS - CENTRO - 30180-904 - BELO HORIZONTE - MG";"CENTRO";"1973";"790";"231";"231";"P4";"0,013304";"SL";"NAO RESIDENCIAL";"700000";"21000";"ZHIP";"2021/08/11 00:00:00"
"AVE AMAZONAS 298 - BOX GARAGE 7 PAVMTO - CENTRO - 30180-904 - BELO HORIZONTE - MG";"CENTRO";"1973";"790";"18";"36";"P4";"0,0015";"VC";"NAO RESIDENCIAL";"52988,4";"3179,3";"ZHIP";"2021/08/11 00:00:00"
"AVE AMAZONAS 298 - GARAGE 66 - CENTRO - 30180-904 - BELO HORIZONTE - MG";"CENTRO";"1973";"790";"18";"18";"P4";"0,0015";"VC";"NAO RESIDENCIAL";"52988,4";"1589,65";"ZHIP";"2021/08/10 00:00:00"
"AVE AMAZONAS 298 - GARAGE 67 - CENTRO - 30180-904 - BELO HORIZONTE - MG";"CENTRO";"1973";"790";"18";"18";"P4";"0,0015";"VC";"NAO RESIDENCIAL";"52988,4";"1589,65";"ZHIP";"2021/08/10 00:00:00"
"AVE AMAZONAS 298 - GARAGE 68 - CENTRO - 30180-904 - BELO HORIZONTE - MG";"CENTRO";"1973";"790";"18";"18";"P4";"0,0015";"VC";"NAO RESIDENCIAL";"52988,4";"1589,65";"ZHIP";"2021/08/10 00:00:00"
"AVE AMAZONAS 298 - GARAGE 70 - CENTRO - 30180-904 - BELO HORIZONTE - MG";"CENTRO";"1973";"790";"18";"18";"P4";"0,0015";"VC";"NAO RESIDENCIAL";"52988,4";"1589,65";"ZHIP";"2021/08/10 00:00:00"
"AVE AMAZONAS 298 - GARAGE 82 - CENTRO - 30180-904 - BELO HORIZONTE - MG";"CENTRO";"1973";"790";"18";"18";"P4";"0,0015";"VC";"NAO RESIDENCIAL";"52988,4";"1589,65";"ZHIP";"2021/08/11 00:00:00"
"AVE AMAZONAS 298 - GARAGE 83 - CENTRO - 30180-904 - BELO HORIZONTE - MG";"CENTRO";"1973";"790";"18";"18";"P4";"0,0015";"VC";"NAO RESIDENCIAL";"52988,4";"1589,65";"ZHIP";"2021/08/11 00:00:00"
"AVE AMAZONAS 298 - PAVMTO 2 - CENTRO - 30180-904 - BELO HORIZONTE - MG";"CENTRO";"1973";"790";"571";"571";"P4";"0,033329";"SL";"NAO RESIDENCIAL";"1940000";"58200";"ZHIP";"2021/08/10 00:00:00"
"AVE AMAZONAS 2994 - PRADO - 30411-186 - BELO HORIZONTE - MG";"PRADO";"1991";"1164,5";"674,79";"674,79";"P3";"1";"GP";"NAO RESIDENCIAL";"5250000";"157500";"ZA";"2021/08/24 09:11:25"
"AVE AMAZONAS 3065 - APT 301 - GUTIERREZ - 30441-001 - BELO HORIZONTE - MG";"GUTIERREZ";"1962";"1260";"119,37";"119,37";"P2";"0,0524";"AP";"RESIDENCIAL";"202990,2";"6089,7";"ZA";"2021/08/03 00:00:00"
