Endereco Completo;Bairro;Ano de Construcao (Unidade);Area Terreno Total;Area Construida Adquirida;Area Adquirida (Unidades Somadas);Padrao Acabamento (Unidade);Fracao Ideal Adquirida;Tipo Construtivo Preponderante;Descrição Tipo Ocupacao (Unidade);Valor Base Calculo;Valor Imposto Cobrado (sumarizado);Zona Uso ITBI;Data Inclusao Transacao
ALA DAS LATHANIAS 1000 - APT 201 - SAO LUIZ - 31270-800 - BELO HORIZONTE - MG;SAO LUIZ;1978;431;162,32;162,32;P2;0,132833;AP;RESIDENCIAL;335000;10050;ZP2;13/12/2021 12:59
AVE ABILIO MACHADO 1264 - SALA 505 - INCONFIDENCIA - 30820-272 - BELO HORIZONTE - MG;INCONFIDENCIA;2000;1247,75;37,06;37,06;P3;0,006563;SL;NAO RESIDENCIAL;107448,58;3223,45;ZAR2;14/12/2021 11:05
AVE ABILIO MACHADO 425 - DOM BOSCO - 30830-093 - BELO HORIZONTE - MG;DOM BOSCO;1993;300;266;266;P2;1;GP;NAO RESIDENCIAL;865312,2;25959,36;ZAR2;01/12/2021 07:50
AVE ABILIO MACHADO 768 - SALA 104 - INCONFIDENCIA - 30820-272 - BELO HORIZONTE - MG;INCONFIDENCIA;1993;1260;37,93;37,93;P2;0,01933;SL;NAO RESIDENCIAL;103134,71;3094,04;ZAR2;02/12/2021 14:44
AVE AFONSO PENA 3351 - GARAGE 27 - SERRA - 30130-008 - BELO HORIZONTE - MG;SERRA;1994;1070;7,91;7,91;P4;0,00168;VC;NAO RESIDENCIAL;31264,28;937,92;ZA;02/12/2021 00:00
AVE AFONSO PENA 3355 - SALA 504 - SERRA - 30130-008 - BELO HORIZONTE - MG;SERRA;1994;1070;38,07;38,07;P4;0,00808;SL;NAO RESIDENCIAL;173477,38;5204,32;ZA;02/12/2021 00:00
AVE AFONSO PENA 3808 - APT 402 - CRUZEIRO - 30130-009 - BELO HORIZONTE - MG;CRUZEIRO;1970;1998;158,53;158,53;P4;0,027778;AP;RESIDENCIAL;797318,72;23919,56;ZA;22/12/2021 17:50
AVE AFONSO PENA 578 - SALA 306 - CENTRO - 30130-001 - BELO HORIZONTE - MG;CENTRO;2001;416,64;40,67;162,68;P4;0,00443;SL;NAO RESIDENCIAL;110000;6600;ZHIP;28/12/2021 09:49
AVE AFONSO PENA 726 - SALA 2105 - CENTRO - 30130-902 - BELO HORIZONTE - MG;CENTRO;1951;594,3;80,87;80,87;P4;0,005818;SL;NAO RESIDENCIAL;160000;4800;ZHIP;07/12/2021 14:06
AVE AFONSO PENA 867 - SALA 1015 - CENTRO - 30130-905 - BELO HORIZONTE - MG;CENTRO;1947;1390;32,32;32,32;P3;0,001375;SL;NAO RESIDENCIAL;89249,96;2677,49;ZHIP;02/12/2021 12:05
AVE AFONSO PENA 867 - SALA 1016 - CENTRO - 30130-905 - BELO HORIZONTE - MG;CENTRO;1947;1390;32,32;32,32;P3;0,001375;SL;NAO RESIDENCIAL;89249,96;2677,49;ZHIP;03/12/2021 15:05
AVE AFONSO PENA 867 - SALA 601 - CENTRO - 30130-905 - BELO HORIZONTE - MG;CENTRO;1947;1390;32,3;32,3;P3;0,001375;SL;NAO RESIDENCIAL;89194,73;2675,84;ZHIP;21/12/2021 12:42
AVE AFONSO PENA 867 - SALA 602 - CENTRO - 30130-905 - BELO HORIZONTE - MG;CENTRO;1947;1390;32,3;32,3;P3;0,001375;SL;NAO RESIDENCIAL;89194,73;2675,84;ZHIP;21/12/2021 09:47
AVE AGGEO PIO SOBRINHO 201 - APT 1001 BLOCO 2 - BURITIS - 30575-834 - BELO HORIZONTE - MG;BURITIS;2018;2953,19;244,01;976,04;P4;0,02369;AP;RESIDENCIAL;850000;51000;ZAR2;27/12/2021 09:55
AVE AGGEO PIO SOBRINHO 201 - GARAGE 03/17 PAVMTO 6 BLOCO 2 - BURITIS - 30575-834 - BELO HORIZONTE - MG;BURITIS;2018;2953,19;24,82;24,82;P4;0,00241;VR;RESIDENCIAL;89103,8;2673,11;ZAR2;13/12/2021 00:00
AVE AGGEO PIO SOBRINHO 261 - GARAGE 02 SUBSL 1 - BURITIS - 30575-834 - BELO HORIZONTE - MG;BURITIS;2015;1647,99;14,29;14,29;P3;0,00418;VC;NAO RESIDENCIAL;26332,25;789,96;ZAR2;10/12/2021 14:30
AVE AGGEO PIO SOBRINHO 401 - APT 802 - BURITIS - 30575-834 - BELO HORIZONTE - MG;BURITIS;2014;1684,57;236,94;236,94;P3;0,04916;AP;RESIDENCIAL;905000;27150;ZAR2;13/12/2021 00:00
AVE AGGEO PIO SOBRINHO 424 - LOJA 12 PAVMTO 1º PAV BLOCO 01 - BURITIS - 30575-834 - BELO HORIZONTE - MG;BURITIS;2016;4654,96;54,43;54,43;P2;0,00338;LJ;NAO RESIDENCIAL;600162,25;18004,86;ZAR2;02/12/2021 00:00
AVE AGGEO PIO SOBRINHO 444 - LOJA 13 PAVMTO 1º PAV BLOCO 01 - BURITIS - 30575-834 - BELO HORIZONTE - MG;BURITIS;2016;4654,96;54,59;54,59;P2;0,00339;LJ;NAO RESIDENCIAL;601973;18059,19;ZAR2;02/12/2021 00:00
AVE AGULHAS NEGRAS 740 - MANGABEIRAS - 30210-340 - BELO HORIZONTE - MG;MANGABEIRAS;0;655;0;0;TE;1;LV;TERRITORIAL;1572000;330120;ZP2;22/12/2021 15:07
AVE ALPHONSUS DE GUIMARAES 382 - APT 501 - PARAISO - 30270-020 - BELO HORIZONTE - MG;PARAISO;2016;585;128,26;128,26;P3;0,06823;AP;RESIDENCIAL;421975,4;12659,26;ZAP;15/12/2021 00:00
