Endereco Completo;Bairro;Ano de Construcao (Unidade);Area Terreno Total;Area Construida Adquirida;Area Adquirida (Unidades Somadas);Padrao Acabamento (Unidade);Fracao Ideal Adquirida;Tipo Construtivo Preponderante;Descrição Tipo Ocupacao (Unidade);Valor Base Calculo;Zona Uso ITBI;Data Inclusao Transacao
RUA ITAMI 41 - APT 402 - GUARANI - 31840-430 - BELO HORIZONTE - MG;GUARANI;2021;362;182,35;182,35;P3;0,19815;AP;RESIDENCIAL;599931,5;ZAP;01/11/2021
RUA MARIA DE SOUZA ALVES 295 - BLOCO 2 APT 701 - MANACAS - 30840-610 - BELO HORIZONTE - MG;MANACAS;2001;3871,7;59;59;P3;0,006272;AP;RESIDENCIAL;230602,68;ZAP;01/11/2021
RUA ALEGRETE 114 - BLOCO B APT 306 - SAGRADA FAMILIA - 31035-380 - BELO HORIZONTE - MG;SAGRADA FAMILIA;1982;1600;88,83;88,83;P3;0,021;AP;RESIDENCIAL;270000;ZAP;01/11/2021
RUA ELSON NUNES DE SOUZA 490 - APT 1404 - CASTELO - 30840-530 - BELO HORIZONTE - MG;CASTELO;2016;4200;159,41;318,82;P4;0,013209;AP;RESIDENCIAL;690000;ZAR2;01/11/2021
RUA DOUTOR JULIO SOARES 16 - APT 201 - OURO PRETO - 31340-170 - BELO HORIZONTE - MG;OURO PRETO;2007;378;64,68;64,68;P3;0,1436;AP;RESIDENCIAL;290000;ZAR2;01/11/2021
RUA CONSTANTINO SIQUEIRA DOS SANTOS 390 - PAQUETA - 31330-604 - BELO HORIZONTE - MG;PAQUETA;2016;448;603,76;313,27;P3;1;CA;RESIDENCIAL;4000000;ZAR2;01/11/2021
RUA CONSTANTINO SIQUEIRA DOS SANTOS 390 - PAQUETA - 31330-604 - BELO HORIZONTE - MG;PAQUETA;2018;448;603,76;603,76;P5;1;CA;RESIDENCIAL;4000000;ZAR2;01/11/2021
RUA WASHINGTON 605 - APT 601 - SION - 30315-540 - BELO HORIZONTE - MG;SION;1981;872;338;338;P4;0,083333;AP;RESIDENCIAL;1180296;ZA;01/11/2021
RUA ORLANDO MORETZSOHN 75 - APT 202 - BURITIS - 30575-300 - BELO HORIZONTE - MG;BURITIS;2019;600;86,26;86,26;P3;0,07941;AP;RESIDENCIAL;320000;ZAR2;01/11/2021
RUA ODILON BRAGA 847 - APT 902 - ANCHIETA - 30310-383 - BELO HORIZONTE - MG;ANCHIETA;2018;423;224,78;224,78;P4;0,144512;AP;RESIDENCIAL;1300000;ZA;01/11/2021
