Endereco Completo;Bairro;Ano de Construcao (Unidade);Area Terreno Total;Area Construida Adquirida;Area Adquirida (Unidades Somadas);Padrao Acabamento (Unidade);Fracao Ideal Adquirida;Tipo Construtivo Preponderante;Descrição Tipo Ocupacao (Unidade);Valor Base Calculo;Zona Uso ITBI;Data Inclusao Transacao
AVE PRUDENTE DE MORAIS 621 - SANTO ANTONIO - 30350-143 - BELO HORIZONTE - MG;SANTO ANTONIO;1.979;1.020;24;24;P4;0;SL;NAO RESIDENCIAL;130.238,38;ZA;01/10/2021
RUA NITEROI 140 - APT 204 - SANTA EFIGENIA - 30240-400 - BELO HORIZONTE - MG;SANTA EFIGENIA;2.021;419;51,37;51,37;P3;0,07;AP;RESIDENCIAL;178.767,60;ZA;01/10/2021
AVE AFONSO PENA 3761 - APT 1003 PAVMTO 10 - SERRA - 30130-008 - BELO HORIZONTE - MG;SERRA;2.002;2.493,88;52,41;52,41;P4;0;AP;RESIDENCIAL;209.999,88;ZA;01/10/2021
RUA OSCAR TROMPOWSKY 1221 - APT 1001 - GUTIERREZ - 30441-123 - BELO HORIZONTE - MG;GUTIERREZ;1.982;706;121;121;P3;0,04;AP;RESIDENCIAL;300.000;ZA;01/10/2021
RUA LORENA 1050 - APT 201 - PADRE EUSTAQUIO - 30730-170 - BELO HORIZONTE - MG;PADRE EUSTAQUIO;1.991;405;117,31;117,31;P3;0,17;AP;RESIDENCIAL;306.179,10;ZA;01/10/2021
RUA ALMIRANTE ALEXANDRINO 700 - BLOCO A APT 3A - GUTIERREZ - 30441-082 - BELO HORIZONTE - MG;GUTIERREZ;1.971;2.623;55,96;55,96;P2;0,01;AP;RESIDENCIAL;317.189,92;ZA;01/10/2021
RUA DOM JOAQUIM SILVERIO 112 - APT 302 - CORACAO EUCARISTICO - 30535-620 - BELO HORIZONTE - MG;CORACAO EUCARISTICO;1.983;400;105;105;P3;0,17;AP;RESIDENCIAL;341.092,50;ZA;01/10/2021
RUA EURITA 20 - APT 502 - SANTA TEREZA - 31010-210 - BELO HORIZONTE - MG;SANTA TEREZA;1.982;424;104;104;P3;0,07;AP;RESIDENCIAL;372.000;ZA;01/10/2021
RUA XAVIER DE GOUVEIA 145 - APT 302 - GRAJAU - 30431-166 - BELO HORIZONTE - MG;GRAJAU;1.977;421;130,28;130,28;P3;0,14;AP;RESIDENCIAL;395.000;ZA;01/10/2021
RUA DONA NOEMI 71 - APT 402 - PADRE EUSTAQUIO - 30730-110 - BELO HORIZONTE - MG;PADRE EUSTAQUIO;2.011;564;105,02;105,02;P3;0,08;AP;RESIDENCIAL;426.651,55;ZA;01/10/2021
RUA CONTRIA 1463 - APT 101 - GRAJAU - 30431-245 - BELO HORIZONTE - MG;GRAJAU;1.999;1.081;142,36;142,36;P3;0,02;AP;RESIDENCIAL;430.000;ZA;01/10/2021
RUA CANAA 829 - APT 102 - GRAJAU - 30431-249 - BELO HORIZONTE - MG;GRAJAU;2.004;600;146,32;292,64;P3;0,08;AP;RESIDENCIAL;560.000;ZA;01/10/2021
RUA HERVAL 431 - APT 301 - SERRA - 30240-010 - BELO HORIZONTE - MG;SERRA;2.020;430;145,97;145,97;P4;0,12;AP;RESIDENCIAL;650.000;ZA;01/10/2021
RUA SANTA HELENA 75 - APT 301 - SERRA - 30220-240 - BELO HORIZONTE - MG;SERRA;1.988;675;305,84;305,84;P3;0,13;AP;RESIDENCIAL;900.000;ZA;01/10/2021
RUA ANITA GARIBALDI 124 - APT 102 - CORACAO DE JESUS - 30380-230 - BELO HORIZONTE - MG;CORACAO DE JESUS;1.978;1.068;224,54;224,54;P3;0,08;AP;RESIDENCIAL;900.000;ZA;01/10/2021
RUA RIO VERDE 199 - APT 801 - ANCHIETA - 30310-750 - BELO HORIZONTE - MG;ANCHIETA;2.001;500;300,06;300,06;P4;0,17;AP;RESIDENCIAL;1.480.000;ZA;01/10/2021
RUA DOUTOR ASTOLPHO VIEIRA DE REZENDE 32 - APT 1001 - SION - 30315-510 - BELO HORIZONTE - MG;SION;2.004;2.018,06;278,37;278,37;P5;0,04;AP;RESIDENCIAL;1.600.000;ZA;01/10/2021
RUA HERCULANO DE FREITAS 1566 - BARROCA - 30431-080 - BELO HORIZONTE - MG;BARROCA;1.980;674,7;744;744;P3;1;LJ;NAO RESIDENCIAL;2.779.267,20;ZA;01/10/2021
RUA NEVADA 19 - APT 103 - CALIFORNIA - 30855-120 - BELO HORIZONTE - MG;CALIFORNIA;1.981;395;61,21;61,21;P2;0,17;AP;RESIDENCIAL;150.000;ZAP;01/10/2021
RUA EMBAIXADOR JOSE APARECIDO 126 - APT 303 BLOCO 2 - PARQUE SAO PEDRO - 31610-244 - BELO HORIZONTE - MG;PARQUE SAO PEDRO;2.014;3.708,06;61,66;123,32;P3;0,01;AP;RESIDENCIAL;155.000;ZAP;01/10/2021
RUA LUCELIA 54 - APT 202 - PIRATININGA - 31573-130 - BELO HORIZONTE - MG;PIRATININGA;2.016;360;47,27;47,27;P3;0,11;AP;RESIDENCIAL;155.518,30;ZAP;01/10/2021
RUA JULIO DE CASTILHO 133 - APT 106 BLOCO 2 - CINQUENTENARIO - 30570-080 - BELO HORIZONTE - MG;CINQUENTENARIO;2.013;17.696,91;46,49;46,49;P3;0;AP;RESIDENCIAL;182.000;ZAP;01/10/2021
RUA MARIA AMELIA MELLO 1030 - APT 908 BLOCO 2 - SANTA HELENA - 30642-160 - BELO HORIZONTE - MG;SANTA HELENA;2.021;1.047,75;51,29;51,29;P4;0,01;AP;RESIDENCIAL;215.000;ZAP;01/10/2021
AVE PORTUGAL 5355 - APT 104 BLOCO 4 - ITAPOA - 31710-400 - BELO HORIZONTE - MG;ITAPOA;2.005;3.222;53,69;53,69;P3;0,01;AP;RESIDENCIAL;221.126,47;ZAP;01/10/2021
RUA DEMETRIO RIBEIRO 75 - APT 303 BLOCO 3 - VERA CRUZ - 30285-680 - BELO HORIZONTE - MG;VERA CRUZ;2.013;5.100,50;63,69;63,69;P3;0,01;AP;RESIDENCIAL;223.577,40;ZAP;01/10/2021
RUA VICENTINA DE SOUZA 522 - APT 304 - SAGRADA FAMILIA - 31030-240 - BELO HORIZONTE - MG;SAGRADA FAMILIA;2.020;800;41,18;41,18;P3;0,05;AP;RESIDENCIAL;225.000;ZAP;01/10/2021
RUA CIPO 282 - BLOCO 8 APT 102 - GUARANI - 31840-000 - BELO HORIZONTE - MG;GUARANI;1.997;4.320;58,32;58,32;P1;0,01;AP;RESIDENCIAL;225.154,33;ZAP;01/10/2021
RUA RAUL SEIXAS 556 - APT 603 - MANACAS - 30840-710 - BELO HORIZONTE - MG;MANACAS;2.017;1.680;70,54;70,54;P3;0,02;AP;RESIDENCIAL;235.590,01;ZAP;01/10/2021
RUA CLELIA 557 - CASA 6 - SANTA MONICA - 31530-530 - BELO HORIZONTE - MG;SANTA MONICA;2.006;755,33;65,59;65,59;P3;0,13;CA;RESIDENCIAL;240.000;ZAP;01/10/2021
RUA EZIO MARIO TERENZI 93 - APT 2 - MINASLANDIA - 31812-080 - BELO HORIZONTE - MG;MINASLANDIA;1.991;360;89,94;89,94;P2;0,25;AP;RESIDENCIAL;250.000;ZAP;01/10/2021
RUA MAESTRO GEORGE MARINUZZI 271 - APT 303 - MANACAS - 30840-620 - BELO HORIZONTE - MG;MANACAS;2.005;420;78,34;78,34;P3;0,06;AP;RESIDENCIAL;260.000;ZAP;01/10/2021
AVE HERACLITO MOURAO DE MIRANDA 3303 - APT 203 BLOCO III - BANDEIRANTES - 31365-283 - BELO HORIZONTE - MG;BANDEIRANTES;2.011;6.032,91;74,77;74,77;P3;0,01;AP;RESIDENCIAL;265.000;ZAP;01/10/2021
RUA JURUA 242 - APT 202 - GRACA - 31140-020 - BELO HORIZONTE - MG;GRACA;1.978;616;77,72;77,72;P3;0,08;AP;RESIDENCIAL;266.679,09;ZAP;01/10/2021
RUA ENGENHEIRO ALFREDO CASTILHO 40 - APT 202 BLOCO 1 - FLORAMAR - 31742-069 - BELO HORIZONTE - MG;FLORAMAR;2.012;720;81,1;81,1;P3;0,05;AP;RESIDENCIAL;266.819;ZAP;01/10/2021
RUA MARTINICA 432 - APT 103 BLOCO 2 - SANTA BRANCA - 31565-400 - BELO HORIZONTE - MG;SANTA BRANCA;2.012;3.230;74,09;74,09;P4;0,01;AP;RESIDENCIAL;275.000;ZAP;01/10/2021
RUA SALDANHA DA GAMA 405 - APT 1 - COLEGIO BATISTA - 31110-210 - BELO HORIZONTE - MG;COLEGIO BATISTA;2.001;370;94,59;189,18;P3;0,1;AP;RESIDENCIAL;289.672,42;ZAP;01/10/2021
RUA POUSO ALEGRE 2455 - BLOCO 1 APT 901 - HORTO - 31015-025 - BELO HORIZONTE - MG;HORTO;2.001;2.170;74,3;74,3;P3;0,01;AP;RESIDENCIAL;310.000;ZAP;01/10/2021
RUA DOS GEOLOGOS 326 - APT 403 - MANACAS - 30840-000 - BELO HORIZONTE - MG;MANACAS;2.003;434;106,85;106,85;P3;0,1;AP;RESIDENCIAL;319.898,22;ZAP;01/10/2021
RUA ALOIZIO NOGUEIRA MACHADO 67 - APT 201 - PLANALTO - 31720-040 - BELO HORIZONTE - MG;PLANALTO;2.013;360;58,17;58,17;P3;0,14;AP;RESIDENCIAL;322.142,36;ZAP;01/10/2021
RUA IZABEL ALVES MARTINS 96 - APT 102 - CONJUNTO CELSO MACHADO - 30882-390 - BELO HORIZONTE - MG;CONJUNTO CELSO MACHADO;2.018;591,27;111,5;111,5;P3;0,06;AP;RESIDENCIAL;335.000;ZAP;01/10/2021
RUA PROFESSOR MASSANIELO SANTOS 113 - APT 202 - PLANALTO - 31720-180 - BELO HORIZONTE - MG;PLANALTO;2.020;360;58,05;58,05;P3;0,13;AP;RESIDENCIAL;340.000;ZAP;01/10/2021
RUA DO CARMELO 116 - APT 403 - SANTA MONICA - 31565-260 - BELO HORIZONTE - MG;SANTA MONICA;2.016;1.200;98,21;196,42;P3;0,03;AP;RESIDENCIAL;341.770,80;ZAP;01/10/2021
RUA PETRINA BROCHADO 54 - BAIRRO DAS INDUSTRIAS II - 30590-530 - BELO HORIZONTE - MG;BAIRRO DAS INDUSTRIAS II;0;321,61;0;0;TE;1;LV;TERRITORIAL;350.000;ZAP;01/10/2021
RUA RAUL SEIXAS 634 - APT 201 - MANACAS - 30840-710 - BELO HORIZONTE - MG;MANACAS;2.013;840;127,61;127,61;P3;0,06;AP;RESIDENCIAL;356.881,10;ZAP;01/10/2021
RUA JOAO GUALBERTO FILHO 705 - APT 402 - SAGRADA FAMILIA - 31035-570 - BELO HORIZONTE - MG;SAGRADA FAMILIA;2.012;800;98,51;98,51;P3;0,03;AP;RESIDENCIAL;371.000;ZAP;01/10/2021
RUA RAMALHO ORTIGAO 577 - APT 102 - SANTA BRANCA - 31565-100 - BELO HORIZONTE - MG;SANTA BRANCA;2.021;720;66,98;66,98;P3;0,06;AP;RESIDENCIAL;375.000;ZAP;01/10/2021
