Endereco Completo;Bairro;Ano de Construcao (Unidade);Area Terreno Total;Area Construida Adquirida;Area Adquirida (Unidades Somadas);Padrao Acabamento (Unidade);Fracao Ideal Adquirida;Tipo Construtivo Preponderante;Descrição Tipo Ocupacao (Unidade);Valor Base Calculo;Valor Imposto Cobrado (sumarizado);Zona Uso ITBI;Data Inclusao Transacao
AVE AFONSO XIII 901 - APT 302 - GUTIERREZ - 30441-098 - BELO HORIZONTE - MG;GUTIERREZ;1970;435;128;128;P3;0,127367;AP;RESIDENCIAL;510000;15300;ZA;01/09/2021
AVE AUGUSTO DE LIMA 1568 - SALA 1115 - BARRO PRETO - 30190-003 - BELO HORIZONTE - MG;BARRO PRETO;2017;2289;55,82;55,82;P4;0,003032;SL;NAO RESIDENCIAL;229999,98;6899,99;ZCBH;01/09/2021
AVE AUGUSTO DE LIMA 463 - APT 1702 - CENTRO - 30190-005 - BELO HORIZONTE - MG;CENTRO;1959;306;133,5;133,5;P3;0,026662;AP;RESIDENCIAL;400000;12000;ZHIP;01/09/2021
AVE DEPUTADO CRISTOVAM CHIARADIA 430 - BLOCO 2 APT 801 - BURITIS - 30575-815 - BELO HORIZONTE - MG;BURITIS;2012;4459,71;136,55;136,55;P4;0,013662;AP;RESIDENCIAL;600000;18000;ZAR2;01/09/2021
AVE DESEMBARGADOR FELIPPE IMMESI 401 - SANTA AMELIA - 31530-000 - BELO HORIZONTE - MG;SANTA AMELIA;1976;210;171,71;171,71;P3;1;CA;RESIDENCIAL;330000;9900;ZAR2;01/09/2021
AVE DOUTOR CRISTIANO GUIMARAES 50 - APT 1603 - PLANALTO - 31720-300 - BELO HORIZONTE - MG;PLANALTO;2001;2450;108,66;108,66;P2;0,007448;AP;RESIDENCIAL;186747,42;5602,42;ZAP;01/09/2021
AVE FLAVIO DOS SANTOS 394 - APT 101 - FLORESTA - 31015-150 - BELO HORIZONTE - MG;FLORESTA;1970;450;93;93;P3;0,166666;AP;RESIDENCIAL;250000;7500;ZA;01/09/2021
AVE GENERAL CARLOS GUEDES 652 - APT 306 - PLANALTO - 31720-500 - BELO HORIZONTE - MG;PLANALTO;1983;720;76;76;P3;0,041666;AP;RESIDENCIAL;197000;5910;ZAR2;01/09/2021
AVE JOAO PAULO I 449 - ALIPIO DE MELO - 30840-030 - BELO HORIZONTE - MG;ALIPIO DE MELO;1976;262,5;210;210;P3;1;CA;RESIDENCIAL;405615;12168,45;ZAR2;01/09/2021
AVE JOAQUIM JOSE DINIZ 20 - APT 301 BLOCO BLOCO 2 - DOM JOAQUIM - 31910-520 - BELO HORIZONTE - MG;DOM JOAQUIM;2011;12863,92;86,19;86,19;P4;0,002795;AP;RESIDENCIAL;294945,89;8848,37;ZAP;01/09/2021
AVE PADRE JOSE MAURICIO 687 - VILA VISTA ALEGRE - 30514-000 - BELO HORIZONTE - MG;VILA VISTA ALEGRE;1997;70;70;70;P2;1;CA;RESIDENCIAL;180000;5400;ZEIS1;01/09/2021
AVE PROFESSOR CLOVIS SALGADO 2545 - APT 202 BLOCO 3 - SERRANO - 31360-280 - BELO HORIZONTE - MG;SERRANO;2013;9486,52;48,66;48,66;P3;0,005533;AP;RESIDENCIAL;167643,23;5029,29;ZAP;01/09/2021
AVE SENADOR JOSE AUGUSTO 80 - APT 702 BLOCO 5 - BURITIS - 30575-847 - BELO HORIZONTE - MG;BURITIS;2012;10609,4;118,29;118,29;P3;0,008366;AP;RESIDENCIAL;625000;18750;ZAR2;01/09/2021
AVE VILARINHO 1731 - APT 502 BLOCO 2 - VENDA NOVA - 31615-250 - BELO HORIZONTE - MG;VENDA NOVA;2013;3352;84,73;84,73;P3;0,010673;AP;RESIDENCIAL;196545,98;5896,37;ZCVN;01/09/2021
AVE WARLEY APARECIDO MARTINS 566 - CASA 123 - SOLAR DO BARREIRO - 30670-370 - BELO HORIZONTE - MG;SOLAR DO BARREIRO;2008;57625,52;41,45;41,45;P3;0,003125;CA;RESIDENCIAL;150000;4500;ZE;01/09/2021
PCA BERNARDO DA VEIGA 50 - BLOCO B2 APT 1106 - NOVA CACHOEIRINHA - 31250-340 - BELO HORIZONTE - MG;NOVA CACHOEIRINHA;1981;26841;68,55;68,55;P3;0,001663;AP;RESIDENCIAL;196974,01;5909,22;ZAR2;01/09/2021
RUA ABDENAGO LISBOA 20 - BLOCO 2 APT 402 - HELIOPOLIS - 31741-600 - BELO HORIZONTE - MG;HELIOPOLIS;1999;12063,71;64,97;64,97;P2;0,004465;AP;RESIDENCIAL;195500;5865;ZAP;01/09/2021
RUA AGUAS BELAS 61 - ERMELINDA - 31250-190 - BELO HORIZONTE - MG;ERMELINDA;1958;360;259,67;259,67;P4;1;CA;RESIDENCIAL;580000;34800;ZAR2;01/09/2021
RUA ALAGOAS 750 - APT 1204 - SAVASSI - 30130-165 - BELO HORIZONTE - MG;SAVASSI;1982;1126;61;61;P3;0,008672;AP;RESIDENCIAL;290000;8700;ZCBH;01/09/2021
RUA ALAGOAS 750 - GARAGE 27 - SAVASSI - 30130-165 - BELO HORIZONTE - MG;SAVASSI;1982;1126;22;22;P3;0,002135;VR;RESIDENCIAL;85173;2555,19;ZCBH;01/09/2021
RUA ALOISIO ARAGAO VILLAR 641 - APT 302 BLOCO 6 - TREVO - 31545-160 - BELO HORIZONTE - MG;TREVO;2020;12112,5;53,49;53,49;P3;0,00529;AP;RESIDENCIAL;178533;5355,99;ZP2;01/09/2021
RUA AMERICO DIAMANTINO 43 - APT 401 - CRUZEIRO - 30310-330 - BELO HORIZONTE - MG;CRUZEIRO;2000;360;168,25;168,25;P3;0,164;AP;RESIDENCIAL;673841,25;20215,23;ZA;01/09/2021
RUA ANNA MARIA DE JESUS 701 - BLOCO 36 APT 301 - GUARANI - 31814-710 - BELO HORIZONTE - MG;GUARANI;1995;61172,29;61,72;61,72;P2;0,001165;AP;RESIDENCIAL;215294,03;6458,82;ZAR2;01/09/2021
RUA ANTONIO ALEIXO 353 - GARAGE 20 - LOURDES - 30180-150 - BELO HORIZONTE - MG;LOURDES;2014;1128;21,08;21,08;P4;0,001988;VR;RESIDENCIAL;98022;2940,66;ZCBH;01/09/2021
RUA ANTONIO ALVES 300 - APT 704 BLOCO 4 - DIAMANTE - 30660-065 - BELO HORIZONTE - MG;DIAMANTE;2021;22670,77;66,34;66,34;P4;0,002187;AP;RESIDENCIAL;236833,8;7105,01;ZAR2;01/09/2021
RUA ANTONIO MARIANO DE ABREU 810 - APT 301 BLOCO 09 - PAULO VI - 31995-000 - BELO HORIZONTE - MG;PAULO VI;2015;23533,54;53,63;53,63;P3;0,003561;AP;RESIDENCIAL;176442,7;5293,28;ZAR2;01/09/2021
RUA ARIPUANA 137 - APT 1602 - BURITIS - 30493-140 - BELO HORIZONTE - MG;BURITIS;2007;2051,47;401,11;401,11;P5;0,05762;AP;RESIDENCIAL;2250000;67500;ZAR2;01/09/2021
RUA BLENDA 251 - APT 503 BLOCO 07 - CAMARGOS - 30520-240 - BELO HORIZONTE - MG;CAMARGOS;2015;39198,41;73,21;73,21;P3;0,00192;AP;RESIDENCIAL;295000;8850;ZAR2;01/09/2021
RUA BOAVENTURA 1207 - APT 702 - LIBERDADE - 31270-020 - BELO HORIZONTE - MG;LIBERDADE;1982;735;79;79;P3;0,034774;AP;RESIDENCIAL;285000;8550;ZAP;01/09/2021
RUA CALIFORNIA 211 - APT 801 - SION - 30315-500 - BELO HORIZONTE - MG;SION;2014;900,77;329,83;329,83;P5;0,08741;AP;RESIDENCIAL;1599999;47999,97;ZA;01/09/2021
RUA CAMBE 400 - APT 202 - PINDORAMA - 30880-440 - BELO HORIZONTE - MG;PINDORAMA;2020;360;57,28;57,28;P3;0,11488;AP;RESIDENCIAL;200000;6000;ZAP;01/09/2021
RUA CANTOR LUIZ GONZAGA 82 - APT 204 - CASTELO - 30840-340 - BELO HORIZONTE - MG;CASTELO;2016;420;98,15;98,15;P3;0,07968;AP;RESIDENCIAL;322913,5;9687,4;ZAR2;01/09/2021
RUA CARMELITA SILVEIRA DE OLIVEIRA 83 - TEIXEIRA DIAS - 30642-240 - BELO HORIZONTE - MG;TEIXEIRA DIAS;1985;225;160;160;P1;1;CA;RESIDENCIAL;780000;23400;ZAR2;01/09/2021
RUA CASSIA 346 - APT 102 - PRADO - 30411-140 - BELO HORIZONTE - MG;PRADO;1998;337,5;103,15;103,15;P3;0,16269;AP;RESIDENCIAL;490000;14700;ZA;01/09/2021
RUA CHICAGO 117 - APT 502 - SION - 30315-520 - BELO HORIZONTE - MG;SION;1983;923;121;121;P3;0,0247;AP;RESIDENCIAL;460588,22;13817,64;ZA;01/09/2021
RUA DA BAHIA 2577 - APT 401 - SAVASSI - 30160-019 - BELO HORIZONTE - MG;SAVASSI;1990;1200;214,38;214,38;P4;0,032112;AP;RESIDENCIAL;1458641,52;43759,24;ZCBH;01/09/2021
RUA DAS GAIVOTAS 166 - APT 103 - VILA CLORIS - 31744-145 - BELO HORIZONTE - MG;VILA CLORIS;2019;360;117,67;117,67;P3;0,16334;AP;RESIDENCIAL;390000;11700;ZAP;01/09/2021
RUA DAS MANGUEIRAS 40 - APT 204 BLOCO 1 - ESTRELA DO ORIENTE - 30580-340 - BELO HORIZONTE - MG;ESTRELA DO ORIENTE;2013;2610,01;53,2;53,2;P3;0,012502;AP;RESIDENCIAL;216306,98;6489,2;ZAP;01/09/2021
